sentence_id,sentence_text,statement_id,targets,predictions,label,Confidence,Comment , , , , , , , , , , , , , , , , 
92,"Our structure, operations and supply chain Burnbrae Farms is a sixth-generation, Canadian familyowned and operated company",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
93,"We offer world-class products such as shell eggs, hard-boiled and liquid eggs, and fully cooked omelets and patties",SID_201,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",c2op,5,,,,,,,,,,,,,,,,,
94,"Burnbrae Farms is committed to providing Canadians from coast to coast with safe, affordable, accessible, nutritious eggs and egg products",SID_201,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",c2op,5,,,,,,,,,,,,,,,,,
95,"We market to retail, industrial, and food service clients across Canada and select US and international markets",SID_201,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",c2op,3,,,,,,,,,,,,,,,,,
96,"Burnbrae Farms produces, grades and processes its products only in Canada, where it employs over 1,700 people and partners with over 400 farmers",SID_201,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",c2s c2op,5,,,,,,,,,,,,,,,,,
97,"Burnbrae Farms operates five farms, eight grading facilities and three processing plants located in Quebec, Ontario, Manitoba, Alberta and British-Columbia",SID_201,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",c2s c2op,5,,,,,,,,,,,,,,,,,
98,"The Reporting Entities are either producing goods in Canada, selling goods in Canada or into the United States, distributing goods in Canada or abroad, or importing into Canada goods produced outside of Canada",SID_201,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",c2s c2op,5,,,,,,,,,,,,,,,,,
99,"All Reporting Entities are wholly-owned subsidiaries of holdings corporations, themselves held by the Hudson family trust",SID_201,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",c2s,5,,,,,,,,,,,,,,,,,
100,"The Hudson family established the original Burnbrae Farm in Lyn, Ontario in 1891 and still owns and operates Burnbrae Farms",SID_201,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",c2s,5,,,,,,,,,,,,,,,,,
101,"In Canada, the Reporting Entity operates many prominent and valued brands including Egg Creations!, Simply Egg Whites, Egg Bakes!, EGG Bites and EGGS2go",SID_201,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",c2s ,3,"even if they say ""cooperate"" i think they are talking about brands/subsidiaries",,,,,,,,,,,,,,,,
102,The steps we have taken in 2023 to prevent and reduce the risk of forced labour and child labour Our focus in 2023 was on conducting an internal assessment of risks of forced and/or child labour within the Reporting Entities activities and supply chains,SID_201,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c4m,5,,,,,,,,,,,,,,,,,
103,We carried out a prioritization exercise,SID_201,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c4m,3,broken sentence,,,,,,,,,,,,,,,,
104,and focused due diligence efforts on the most severe risks of forced and child labour,SID_201,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c4m,5,,,,,,,,,,,,,,,,,
105,This prioritization exercise has lead to the identification of various tasks that will be undertaken in 2024,SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
106,"Some of these tasks will include performing training, adding clauses to our Supplier Agreements, distributing a survey tool to our largest and most at risk suppliers, analysing and adjusting our temporary foreign workers agency contracts and practices and partnering with provincial and federal Egg Marketing Boards to ensure egg farmers are also in compliance",SID_201,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c4m,3,while not mentioning modern slavery here - can be deduced from the context,,,,,,,,,,,,,,,,
107,"Policies, due diligence and controls Burnbrae Farms has, in recent years, adopted several tools aimed at furthering its sustainability goals which include the topics of forced labour and child labour",SID_201,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c4m,3,beginning of list ,,,,,,,,,,,,,,,,
108,"(a) Sustainability Reports Burnbrae Farms is proud to have published, in 2022, its very first sustainability report covering the efforts we have undertaken in the previous two years in the fields of environment, animal care, health and wellbeing, safe nourishing food and community spirit (our Key Areas of Focus)",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
109,"This initiative was repeated in 2023 (together with the sustainability report published in 2022, the Sustainability Reports)",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
110,"Going forward on an annual basis, we plan to publish our updated Sustainability Reports",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
111,"In our Sustainability Reports, we adopt the reporting framework recommended by the United Nations Sustainable Development Goals (SDGs)",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
112,"Burnbrae Farms supports the direction and approach of the SDGs, which represent a universal call to action to end poverty, protect the planet, and ensure prosperity for all",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
113,"In our Sustainability Reports, our goal is to establish clear links between our efforts and specific SDGs that are most affected by our industry, and where we feel we have a unique opportunity to leverage our scale and expertise for positive change",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
114,We do so by identifying which SDGs are targeted in each of our Key Areas of Focus,SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
115,"We align our sustainability disclosure with the SDGs, including goal 8 which aims to promote sustained, inclusive and sustainable economic growth, full and productive employment and decent work for all, and its target 8.7 the objective of which is to take immediate and effective measures to eradicate forced labour, end modern slavery and human trafficking and secure the prohibition and elimination of the worst forms of child labour, including recruitment and use of child soldiers, and by 2025 end child labour in all its forms",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
116,"Our metrics and key performance indicators are informed by the standards outlined in the Global Reporting Initiative, an independent, international organization providing language and metrics to help communicate businesses impacts",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
117,"Amongst other topics, our Sustainability Reports outline and track Burnbrae Farms progress in its Key Areas of Focus in the form of a Sustainability Report Card",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
118,"For each area covered in the Sustainability Report Card, we set ourselves targets and we monitor our progress year over year",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
119,"For more information on our Sustainability Report Card, please refer to section 4 of this Report",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
120,(b) Employee Code of Conduct The Burnbrae Farms Employee Code of Conduct (the Code) sets high standards for conducting business in a legal and ethical manner and serves as the foundation of our corporate policies and procedures,SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
121,"The Code, which all employees, officers and directors are required to abide by and sign, was updated in 2022",SID_201,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",c4m,3,ask companies to comply with a code,,,,,,,,,,,,,,,,
122,"The Code states that Burnbrae Farms and all people covered by the Code are required to abide by all laws in the jurisdictions where they operate, which includes the Act",SID_201,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",c4m,4,,,,,,,,,,,,,,,,,
123,The Code applies the,SID_201,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",c4m,3,broken sentence,,,,,,,,,,,,,,,,
124,"same requirement independent of whether we conduct business with international customers, suppliers, contractors or government agencies",SID_201,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",c4m,3,broken sentence,,,,,,,,,,,,,,,,
125,(c) Confidential Reporting System Burnbrae Farms has established a Confidential Reporting System so that any signatory of the Code can question an action taken by a colleague and report a situation where the signatory suspects an ethics violation or a breach of the Code,SID_201,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",c4m,3,,,,,,,,,,,,,,,,,
126,The Confidential Reporting System takes the form of a phone hotline which signatories can reach at anytime,SID_201,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",c4m,3,,,,,,,,,,,,,,,,,
127,"If a signatory reports potential wrongdoing, every effort will be made to protect their confidentiality, as applicable laws permit, and Burnbrae Farms will ensure that no retaliation occurs",SID_201,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",c4m,4,,,,,,,,,,,,,,,,,
128,Risk Assessment Methodology and Results of Assessment We use the Sustainability Report Card contained in our Sustainability Reports to set ourselves targets and to monitor our progress,SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
129,We see our goal of eradicating forced labour and child labour from our supply chain as fitting within the Health and Wellbeing Area of Focus of our Sustainability Report,SID_201,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c4m,3,quite vague,,,,,,,,,,,,,,,,
130,"In 2022, in this Area of Focus, we were on track to meet two targets, we achieved two targets and we established four new targets",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c5,3,while vague it is assessing effectiveness - but need to check what is the area of focus,,,,,,,,,,,,,,,,
131,In 2024 we will add progress updates on our goals that address action items following our risk analysis regarding forced and child labour,SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c5,3,monitoring progress,,,,,,,,,,,,,,,,
132,The identification of targets in the Sustainability Report Card forms the heart of our risk assessment methodology,SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
133,"When new risks are identified, we set ourselves goals related to the management and elimination of those risks",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
134,"Every year, we assess our goals and decide whether the previous years identified targets are achieved or on track to be met",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
135,"Risks of forced labour and child labour in our operations and supply chains Since 2021, Burnbrae Farms participates in the Temporary Foreign Worker Program (the TFWP) which allows Canadian employers to hire foreign nationals to fill jobs in cases where qualified Canadians arent available",SID_201,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c2op,4,,,,,,,,,,,,,,,,,
136,"We launched the program in our Lyn, Ontario facilities and due to its success, we have expanded it to other grading locations in Ontario and British Columbia as well as our further processing facilities in Upton, Quebec and Brockville, Ontario",SID_201,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c2op,4,,,,,,,,,,,,,,,,,
137,We recognize the forced labour risks associated with migrant workers participating in the TFWP,SID_201,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",c3,4,,,,,,,,,,,,,,,,,
138,Migrant workers face heightened susceptibility to exploitative recruitment tactics,SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,this is just definition of modern slavery,,,,,,,,,,,,,,,,
139,"When recruitment fees are imposed on migrant workers by recruiters and employment agents, migrant workers can become indebted to them",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",,,this is just definition of modern slavery,,,,,,,,,,,,,,,,
140,"Non-repayment of these dues can lead to dire repercussions, including prolonged work hours and wage deductions",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,this is just definition of modern slavery,,,,,,,,,,,,,,,,
141,"This burden of debt, compounded by the uncertainty surrounding job security and residency status, renders migrant workers exceptionally prone to various manifestations of modern slavery",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,this is just definition of modern slavery,,,,,,,,,,,,,,,,
142,"In its participation in the TFWP, Burnbrae Farms carefully selects the recruiters and employment agents it contracts with",SID_201,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c4m,5,,,,,,,,,,,,,,,,,
143,"In fiscal 2023, seventy percent (70% of the t6ask associated with recruiting candidates was performed in-house by Burnbrae Farms HR team",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c5,5,,,,,,,,,,,,,,,,,
144,We aim to avoid the use of employment agents to ensure we are following best practices and to develop the expertise internally,SID_201,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c4m,3,,,,,,,,,,,,,,,,,
9679,"MEASURES TAKEN Through the preliminary supplier risk mapping and assessment, ENMAX did not find any instances of forced and/or child labour in the supply chain; therefore, we did not need to deploy any remediation measures",SID_322,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c3 c4r,3,0 kpi and negative evidence?,,,,,,,,,,,,,,,,
146,"To our knowledge, we have not uncovered any",SID_201,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c3,3,fragmented sentence,,,,,,,,,,,,,,,,
147,indications of forced labour or child labour within our operations and supply chain,SID_201,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c3,4,fragmented sentence,,,,,,,,,,,,,,,,
148,"Our ongoing review of our risk assessment procedures, conducted annually, aims to detect any potential shortcomings in our evaluations",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",c4,4,,,,,,,,,,,,,,,,,
2695,"Lion Electric is committed to deal with any report expeditiously, investigate thoroughly and if necessary, take remedial measures in a timely manner",SID_227,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c4r,3,a bit vague btu mention investigation ,,,,,,,,,,,,,,,,
4880,"We also developed a contractual clause in our purchase orders which provides that by accepting the purchase order, the supplier agrees to comply with our Code of Conduct, violations of which may be grounds for the nullification of the purchase order",SID_260,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",c4m c4r,3,because we know that it is linked to forced labour from 2 sentence above,,,,,,,,,,,,,,,,
8536,"In the event that a concerning report, or a breach of the Act has occurred in our business or one of our supply chains, we may use any one of the following remediation measures",SID_296,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c4r,3,beginning list,,,,,,,,,,,,,,,,
8788,"If we discover any forced labour or child labour in our business and supply chains, we take the following measures to remediate such forced labour or child labour",SID_301,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",c4r,3,beginning of list needed for the next sentences,,,,,,,,,,,,,,,,
153,"In 2024, we aim to integrate sections on forced labour and child labour into the technical training, on-boarding, cross training and coaching programs we are developing",SID_201,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c4m,5,,,,,,,,,,,,,,,,,
154,New employees in key roles will receive training through in person or virtual sessions and through our training video project,SID_201,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",c4m,3,description of training ,,,,,,,,,,,,,,,,
155,"The topics covered include animal care, equipment safety, food safety, diversity and inclusion",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
156,All employees have signed a copy of the Code,SID_201,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c4m,3,fragmented sentence,,,,,,,,,,,,,,,,
157,This demonstrates that they have read and understood its contents which include sections relating to abidance to laws of the jurisdictions in which employees are located,SID_201,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c4m,3,applicable laws,,,,,,,,,,,,,,,,
158,"Seeing that all of our production, grading, farming and processing activities are located in Canada, the laws to which employees abide include the Act",SID_201,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c2op c4m,3,applicable laws,,,,,,,,,,,,,,,,
159,Assessing our effectiveness We are committed to continually evaluating and enhancing our key performance indicators to gauge the effectiveness of the implementation of the objectives outlined in our Sustainability Reports as well as to continuously refine our human rights approach,SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",,,committed is too vague,,,,,,,,,,,,,,,,
160,"The efficiency of each Reporting Entity's industry-specific due diligence process is regularly assessed to ensure its relevance and alignment with our business operations, regulatory changes, industry norms, and best practices",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",c5,3,,,,,,,,,,,,,,,,,
161,"Through these measures, each entity ensures compliance with all pertinent laws and regulations across our operational jurisdictions, including those addressing forced labour and child labour risks",SID_201,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c4m,3,,,,,,,,,,,,,,,,,
1058,undertaken any measures to: (i) remediate forced labour or child labour in its activities and supply chain; or (ii) remediate loss of income that results from any measure taken to eliminate the use of forced labour or child labour in its activities and supply chain,SID_209,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",c4r,5,broken sentence,,,,,,,,,,,,,,,,
163,"Notably, no issues requiring review were identified in fiscal 2023, and there were no incidents of forced labour or child labour associated with our suppliers through our monitoring processes",SID_201,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",c3,5,negative evidence,,,,,,,,,,,,,,,,
164,"In evaluating the efficacy of our corporate social responsibility risk management approach, we solicit feedback from relevant internal and external stakeholders",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",c5,4,,,,,,,,,,,,,,,,,
165,"Our consultation and governance process In preparing this Report, each Reporting Entity engaged other entities it owns or controls",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,this is about the modern slavery statements,,,,,,,,,,,,,,,,
166,"It also consulted with key areas of our organization to prepare this Report, including departments or teams dealing with procurement, human resources, government relations, legal and contractual issues, our sustainability specialists and our external legal counsel",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,this is about the modern slavery statements,,,,,,,,,,,,,,,,
167,"These teams operate across our enterprise, including across the subsidiaries to which this Report applies",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,this is about the modern slavery statements,,,,,,,,,,,,,,,,
168,This consultation process has supported our business-wide approach to human rights which include forced labour and child labour,SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,this is about the modern slavery statements,,,,,,,,,,,,,,,,
169,"Approval This Report was approved by the sole shareholders of each Reporting Entity acting as the governing body of each Reporting Entity on May 20, 2024",SID_201,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",a,3,not clear,,,,,,,,,,,,,,,,
170,Conclusion Each Reporting Entity steadfastly upholds its dedication to eliminating the occurrence of forced labour and child labour within our operations and throughout our supply chains,SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
171,"We remain resolute in the ongoing examination of our policies, protocols, and operational methodologies, periodically reviewing and fortifying our defenses against forced labour, child labour, and all manifestations of human rights violations",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,to vague doesn't say how ,,,,,,,,,,,,,,,,
172,-20,SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
173,"Attestation (Public Safety Canada) In accordance with the requirements of the Act, and in particular section 11 thereof, I attest that I have reviewed the information contained in the Report for the entity or entities listed above",SID_201,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,,,,,,,,,,,,,,,,
