,Unnamed: 0,sentence,statement_id,targets,label ,confidence,comment,context,predictions
24,24,"Our standard terms and conditions used for the whole supply chain have been adapted to ensure our professional advisors, contractors and suppliers comply with the provisions of the Modern Slavery Act 2015 and the Bribery Act 2010 and GDPR",SID_401,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",c4m,3.0,,"Our standard terms and conditions used for the whole supply chain have been adapted to ensure our professional advisors, contractors and suppliers comply with the provisions of the Modern Slavery Act 2015 and the Bribery Act 2010 and GDPR","[0.00018644465308170766, 0.0001311910746153444, 9.12206232897006e-05, 0.0011198186548426747, 0.0013945683604106307, 0.019109215587377548, 0.009626353159546852, 0.9192571043968201, 0.0022733891382813454, 0.03697169944643974, 0.00021987620857544243]"
25,25,FURTHER STEPS TO BE UNDERTAKEN We are committed to continually review and monitor our supply chain to ensure that high standards of ethical procurement are maintained,SID_401,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,5.0,,FURTHER STEPS TO BE UNDERTAKEN We are committed to continually review and monitor our supply chain to ensure that high standards of ethical procurement are maintained,"[0.00019143059034831822, 0.0001305390615016222, 6.721224781358615e-05, 3.665107215056196e-05, 0.00032589907641522586, 0.002162483287975192, 0.003592160064727068, 0.18436813354492188, 0.0016867369413375854, 0.36973512172698975, 6.201411451911554e-05]"
26,26,"RESPONSIBILITY FOR, AND COMPLIANCE WITH THIS POLICY The Boards of each of our group holding companies have overall responsibility for ensuring that this statement complies with our legal and ethical obligations under the Act",SID_401,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,3.0,,"RESPONSIBILITY FOR, AND COMPLIANCE WITH THIS POLICY The Boards of each of our group holding companies have overall responsibility for ensuring that this statement complies with our legal and ethical obligations under the Act","[0.0023028200957924128, 0.0004274460079614073, 0.005466904491186142, 0.004175656009465456, 0.0015285353874787688, 0.0002822597452905029, 0.0003968074161093682, 0.02568393014371395, 0.00017796762404032052, 0.0033125784248113632, 0.010490204207599163]"
27,27,The Boards of each of our principal operating subsidiary companies have adopted its principles and have committed to its implementation,SID_401,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,3.0,,The Boards of each of our principal operating subsidiary companies have adopted its principles and have committed to its implementation,"[0.002140070777386427, 0.0010967253474518657, 0.0004955343320034444, 0.0023318654857575893, 0.0004402567574288696, 0.0006678221398033202, 0.001007930957712233, 0.26003995537757874, 0.0003810370108112693, 0.025780605152249336, 0.010995800606906414]"
28,28,"All staff working for and with us (including employees, consultants, contractors and agency workers) are encouraged to report any concerns about modern slavery in any part of our business in accordance with our Personal Conduct and Public Interest Disclosure policies",SID_401,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",c4m,3.0,,"All staff working for and with us (including employees, consultants, contractors and agency workers) are encouraged to report any concerns about modern slavery in any part of our business in accordance with our Personal Conduct and Public Interest Disclosure policies","[3.633102460298687e-05, 0.0001133068508352153, 0.0002662054030224681, 0.008874629624187946, 0.005152806174010038, 0.005399931687861681, 0.01845402829349041, 0.8445405960083008, 0.018652230501174927, 0.010960067622363567, 0.0003203712694812566]"
29,29,IBA -W,SID_401,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,IBA -W,"[0.003152519464492798, 0.0005102097638882697, 0.00640200125053525, 0.002750275656580925, 0.008805850520730019, 0.05395675450563431, 0.009292533621191978, 0.08863859623670578, 0.0004131118766963482, 0.010398000478744507, 0.0015033809468150139]"
30,30,DJM/JB 3 ModemSlaveryAct 2015 Year End 2022 This statement was approved by the Boards of The Banks Group Holdings Limited and each of its associated companies and their principal operating subsidiaries (as listed below) on 2 March 2023,SID_401,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",a,5.0,,DJM/JB 3 ModemSlaveryAct 2015 Year End 2022 This statement was approved by the Boards of The Banks Group Holdings Limited and each of its associated companies and their principal operating subsidiaries (as listed below) on 2 March 2023,"[0.9965084195137024, 0.005576364696025848, 0.00914696604013443, 0.008600800298154354, 0.0008074389770627022, 0.0009250917355529964, 0.00017351667338516563, 0.0030397868249565363, 0.00012367281306069344, 0.0005539693520404398, 0.044947899878025055]"
31,31,and signed by A-11-t.f eDIL.- Harry Banks Banks OBE DL Chairman and Chief Executive icsI,SID_401,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",s,5.0,,and signed by A-11-t.f eDIL.- Harry Banks Banks OBE DL Chairman and Chief Executive icsI,"[0.012325095012784004, 0.9851733446121216, 0.0015182695351541042, 0.0036384612321853638, 0.0004649714392144233, 0.0004521427326835692, 0.00022590000298805535, 0.0004093883035238832, 0.00010477720934432, 0.00040165349491871893, 0.00017165056488011032]"
32,32,"DJM/JB 4 ModernSlaveryAct 2015 Year End 2022 This statement applies to the following entities, all of which are UK based Banks Group Holdings Limited The Banks Group Limited H.J Banks & Company Limited Banks Brothers Transport Limited Banks Developments Limited Banks Property Limited Banks Property Development Limited Banks Property Development (Bathgate) Limited H.J Banks (Construction) Limited Banks Homes Limited Mount Oswald Estate Management Limited Bowesfield Management Company Limited Sheraton Park Management Limited Banks Renewables (HMA Holdings) Limited Banks Renewables (Hazlehead Wind Farm) Limited Banks Renewables (Armistead Wind Farm) Limited Banks Renewables (Marr Wind Farm) Limited Banks Renewables (PH Holdings) Limited Banks Renewables (Penny Hill Wind Farm) Limited Banks Renewables (Heysham South Wind Farm) Limited Banks Renewables (HL Holdings) Limited Banks Renewables (Hook Moor Wind Farm) Limited Banks Renewables (Lambs Hill Wind Farm) Limited Banks Renewables Holdings Limited KMH Holdings Limited Banks Renewables Limited Banks Renewables (Kype Muir Wind Farm) Limited Banks Renewables (Middle Muir Wind Farm) Limited Banks Renewables (Moor House Wind Farm) Limited Banks Renewables (Harting Rig Wind Farm) Limited Banks Renewables (Lethans Wind Farm) Limited Banks Renewables (Lethans East Wind Farm) Limited Banks Renewables (Mill Rig Wind Farm) Limited Banks Renewables (Bodinglee Wind Farm) Limited Banks Renewables (Bowburn Solar Park) Limited Banks Renewables (Barnsdale Solar Park) Limited Thorpe Marsh Energy Park Limited Banks Renewables (Moor House Solar Park) Limited Banks Renewables (Common Farm Solar Park) Limited Banks Energy Parks Limited Pond Flexible Energy Park Limited Banks Renewables (Cumby's Farm Solar Park) Limited Mill Rig Wind Farm LLP Thorpe Marsh Green Energy Hub Limited IBANG",SID_401,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",c2s,5.0,,"DJM/JB 4 ModernSlaveryAct 2015 Year End 2022 This statement applies to the following entities, all of which are UK based Banks Group Holdings Limited The Banks Group Limited H.J Banks & Company Limited Banks Brothers Transport Limited Banks Developments Limited Banks Property Limited Banks Property Development Limited Banks Property Development (Bathgate) Limited H.J Banks (Construction) Limited Banks Homes Limited Mount Oswald Estate Management Limited Bowesfield Management Company Limited Sheraton Park Management Limited Banks Renewables (HMA Holdings) Limited Banks Renewables (Hazlehead Wind Farm) Limited Banks Renewables (Armistead Wind Farm) Limited Banks Renewables (Marr Wind Farm) Limited Banks Renewables (PH Holdings) Limited Banks Renewables (Penny Hill Wind Farm) Limited Banks Renewables (Heysham South Wind Farm) Limited Banks Renewables (HL Holdings) Limited Banks Renewables (Hook Moor Wind Farm) Limited Banks Renewables (Lambs Hill Wind Farm) Limited Banks Renewables Holdings Limited KMH Holdings Limited Banks Renewables Limited Banks Renewables (Kype Muir Wind Farm) Limited Banks Renewables (Middle Muir Wind Farm) Limited Banks Renewables (Moor House Wind Farm) Limited Banks Renewables (Harting Rig Wind Farm) Limited Banks Renewables (Lethans Wind Farm) Limited Banks Renewables (Lethans East Wind Farm) Limited Banks Renewables (Mill Rig Wind Farm) Limited Banks Renewables (Bodinglee Wind Farm) Limited Banks Renewables (Bowburn Solar Park) Limited Banks Renewables (Barnsdale Solar Park) Limited Thorpe Marsh Energy Park Limited Banks Renewables (Moor House Solar Park) Limited Banks Renewables (Common Farm Solar Park) Limited Banks Energy Parks Limited Pond Flexible Energy Park Limited Banks Renewables (Cumby's Farm Solar Park) Limited Mill Rig Wind Farm LLP Thorpe Marsh Green Energy Hub Limited IBANG","[0.0034989549312740564, 0.020912159234285355, 0.554193913936615, 0.9263975024223328, 0.03957158699631691, 0.0008261867333203554, 0.00035157916136085987, 0.0012191480491310358, 0.0005963697331026196, 0.0013136055786162615, 0.013562983833253384]"
33,0,Modern Slavery and Human Trafficking Statement for fiscal year 2022 January 2022 - 31 December 2022,SID_406,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,5.0,,Modern Slavery and Human Trafficking Statement for fiscal year 2022 January 2022 - 31 December 2022,"[0.012913748621940613, 0.013135443441569805, 0.033257801085710526, 0.0029880404472351074, 0.0006346910959109664, 0.0025297801475971937, 0.000812890415545553, 9.269615111406893e-05, 2.3926339054014534e-05, 0.0001360036403639242, 0.00020858098287135363]"
34,1,"Raisio Plc is an international company specialised in healthy, responsibly produced food and ingredients",SID_406,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",c2op,5.0,,"Raisio Plc is an international company specialised in healthy, responsibly produced food and ingredients","[0.00028049806132912636, 0.00013318016135599464, 0.0015634670853614807, 0.5302231311798096, 0.8804650902748108, 0.006307110656052828, 0.0006772836204618216, 0.0005480574909597635, 0.0001399337052134797, 0.00010511185246286914, 0.0001263592130271718]"
35,2,"Our well-known and beloved brands, such as Benecol, Hrkis and Elovena, are part of everyday life in millions of households",SID_406,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",c2s,5.0,,"Our well-known and beloved brands, such as Benecol, Hrkis and Elovena, are part of everyday life in millions of households","[0.0002955367090180516, 0.00023298429732676595, 0.00025313268997706473, 0.8868535757064819, 0.5444048047065735, 0.0013805222697556019, 0.00020109197066631168, 0.0007713626837357879, 3.139116597594693e-05, 0.00023091828916221857, 0.00011521021224325523]"
36,3,We have around 350 healthy food colleagues in seven countries and export to more than 40 markets around the world,SID_406,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]",c2s c2op,5.0,,We have around 350 healthy food colleagues in seven countries and export to more than 40 markets around the world,"[2.7990328817395493e-05, 3.9160258893389255e-05, 0.00010359832958783954, 0.4700479805469513, 0.884431779384613, 0.004642310552299023, 0.001419256441295147, 0.0007483106455765665, 0.00011081113188993186, 7.330284279305488e-05, 3.696716885315254e-05]"
37,4,"We also sell oat and fava bean products to industrial and bakery customers, particularly in Finland and Europe",SID_406,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",c2op,5.0,,"We also sell oat and fava bean products to industrial and bakery customers, particularly in Finland and Europe","[6.910159572726116e-05, 0.00012966655776835978, 0.00011674510460579768, 0.024783842265605927, 0.9324133992195129, 0.09052453190088272, 0.0010238693794235587, 0.0003307973383925855, 0.00011337288742652163, 5.1721704949159175e-05, 2.9712500690948218e-05]"
38,5,All five of our production facilities are located in Finland,SID_406,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",c2op,5.0,,All five of our production facilities are located in Finland,"[5.31335172127001e-05, 0.0001260614808415994, 0.0002542896836530417, 0.12896372377872467, 0.9247467517852783, 0.012173770926892757, 0.02801605686545372, 0.006120332516729832, 0.0003492466057650745, 0.00022212581825442612, 0.0010676032397896051]"
39,6,"Our key offices are in Finland, the UK, Ireland, Poland and Ukraine",SID_406,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",c2op,5.0,,"Our key offices are in Finland, the UK, Ireland, Poland and Ukraine","[0.00027548050275072455, 0.0001806437358027324, 0.0003930918755941093, 0.7348469495773315, 0.8616406917572021, 0.0014667713548988104, 0.001607922837138176, 0.0009646142716519535, 5.921356569160707e-05, 0.00034226992283947766, 0.00012002701259916648]"
40,7,"The Groups head office is in Raisio, Southwest Finland",SID_406,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",c2s,5.0,,"The Groups head office is in Raisio, Southwest Finland","[0.0001427999814040959, 0.00022306259779725224, 0.001270519569516182, 0.972426176071167, 0.4854705035686493, 0.0010944354580715299, 0.0001835917355492711, 0.00048739652265794575, 4.643306601792574e-05, 5.6830689572962e-05, 5.323845107341185e-05]"
41,8,"At the end of 2022, the Raisio Groups continuing operations employed some 350 people",SID_406,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",c2s,5.0,,"At the end of 2022, the Raisio Groups continuing operations employed some 350 people","[0.00018087626085616648, 0.00012171387061243877, 0.00022484749206341803, 0.9929545521736145, 0.3035711944103241, 0.0006743421545252204, 0.0009765163995325565, 0.0010847951052710414, 6.442641461035237e-05, 0.00021936737175565213, 0.00010037441097665578]"
42,9,Group's net sales from continuous operations in 2022 totalled 221 EUR million,SID_406,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,4.0,we do not collect this data,Group's net sales from continuous operations in 2022 totalled 221 EUR million,"[0.0003256592608522624, 5.404709736467339e-05, 8.360543142771348e-05, 0.05407315492630005, 0.41295209527015686, 0.005402076058089733, 0.0011372057488188148, 0.0004322530294302851, 0.0004440409829840064, 0.00015285036351997405, 3.3930398785742e-05]"
43,10,"Raisios shares are listed on Nasdaq Helsinki Ltd This report covers all subsidiaries of Raisio plc, including UK-based Benecol Ltd Policies and current actions related to slavery and human trafficking Raisio Group complies with local and international laws and regulations, generally accepted practices and Raisios own guidelines",SID_406,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",c2s,3.0,,"Raisios shares are listed on Nasdaq Helsinki Ltd This report covers all subsidiaries of Raisio plc, including UK-based Benecol Ltd Policies and current actions related to slavery and human trafficking Raisio Group complies with local and international laws and regulations, generally accepted practices and Raisios own guidelines","[0.008478457108139992, 0.003991281148046255, 0.4334401488304138, 0.8880653977394104, 0.09644556790590286, 0.017982270568609238, 0.010944386012852192, 0.09140661358833313, 0.0003123846254311502, 0.0006883705500513315, 0.004979859571903944]"
44,11,"The Raisio Group respects the UN declaration of human rights, the fundamental principles and rights at work as defined by the International Labour Organization (ILO)",SID_406,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,vague for c4m ,"The Raisio Group respects the UN declaration of human rights, the fundamental principles and rights at work as defined by the International Labour Organization (ILO)","[4.980255835107528e-05, 5.1910566980950534e-05, 0.0002833228500094265, 0.0006379927508533001, 0.000706640537828207, 0.00406600721180439, 0.0036555228289216757, 0.5212658047676086, 0.0005528497858904302, 0.002026992617174983, 0.00023194921959657222]"
45,12,"These rights cover freedom of association, the right to organise or not to organise, the right to collective bargaining, the prohibition of forced labour and child labour, and the employees' right to equal treatment and opportunities",SID_406,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,vague for c4m ,"These rights cover freedom of association, the right to organise or not to organise, the right to collective bargaining, the prohibition of forced labour and child labour, and the employees' right to equal treatment and opportunities","[3.4347242035437375e-05, 0.0001331851090071723, 0.00011188307689735666, 0.0004177275113761425, 0.0012221483048051596, 0.00477800564840436, 0.018187997862696648, 0.5152873396873474, 0.0008383627282455564, 0.00701736519113183, 0.00011421665840316564]"
