,sentence,prediction,targets,confidence
89,"Modern Slavery and Human Trafficking Statement October 2023 Modern Slavery and Human Trafficking Statement Happold LLP, known as Buro Happold, is an international integrated engineering consultancy operating in 37 locations worldwide with over 80 partners and over 2,500 employees",0,0,0.5010686806478161
90,"Modern Slavery and Human Trafficking Statement October 2023 Modern Slavery and Human Trafficking Statement Happold LLP, known as Buro Happold, is an international integrated engineering consultancy operating in 37 locations worldwide with over 80 partners and over 2,500 employees",0,0,0.5010686806478161
91,"The principal activity of Buro Happold group is that of engineers, designers and advisers providing professional, integrated services to clients that include the property and construction sectors, city administrations and campus portfolio owners",0,0,0.6276372655104976
92,"Buro Happolds supply chain primarily comprises professional infrastructure consultancy providers, acting as sub- consultants",0,0,0.5900066663572954
93,"We also directly engage suppliers of services for our offices, such as facilities management, travel, insurance and office equipment",0,0,0.6676845279737657
94,Buro Happold operates a preferred sub- consultants and approved delivery supplier based on our global business regions,0,0,0.6285032310356494
95,"The types of infrastructure sub-consultants we typically engage include: architects; surveyors; geotechnical or environmental consultants; IT consultants; economic/financial consultants; acoustic, lighting or security consultants; and BIM suppliers",0,0,0.6193654957027205
96,As a professional service organisation the risks associated with slavery and human trafficking are objectively low,1,0,0.5374026510145347
97,"Key areas of risk include outsourced low wage jobs such as office cleaners, catering and other support staff",0,0,0.582065977809256
98,We manage these risks by ensuring,0,0,0.5751770097970358
99,all staff including temporary workers are paid the National Living Wage,0,0,0.6756229021003002
100,undertaking checks to ensure staff are eligible to work in the relevant country of employment,0,0,0.6553046734966625
101,"all staff, including temporary workers have a written contract of employment",0,0,0.6310219836425207
102,employee hours are monitored in order to comply with maximum working hour regulations,0,0,0.5768294562946821
103,strict health and safety monitoring to ensure a safe and respectful working environment for all,0,0,0.6035726091772775
104,promotion of our whistleblowing policy encouraging external stakeholders or employees to raise any concerns,0,0,0.5926130284711489
105,Our Modern Slavery Policy reflects our commitment to acting ethically and with integrity in all our business relationships and implementing and enforcing effective systems and controls to ensure slavery and human trafficking is not taking place anywhere in our supply chain or any part of our business,1,0,0.5691655635668946
106,Buro Happold operates our projects within,0,0,0.5784633928842173
107,"Modern Slavery and Human Trafficking Statement October 2023 a suite of management procedures, which are based upon our Quality Management System (QMS) that is certified to ISO 9001:2015 by the leading certification body Bureau Veritas",0,0,0.5199649901662152
108,A range of Modern Slavery assessment criteria are integrated into our Health & Safety project site inspections reports,0,0,0.5136928976153101
109,This allows high level evaluation of workers on-site welfare facilities and allows any identified breaches to be escalated and investigated further,0,0,0.5718657914622006
110,Buro Happold outsources a relatively small proportion of our work to delivery suppliers,0,0,0.5791589772623188
111,"We have an approved list of delivery suppliers, who have come through a rigorous selection process to become approved suppliers to the global business",0,0,0.6806172035387452
112,"We have an approved list of delivery suppliers, who have come through a rigorous selection process to become approved suppliers to the global business",0,0,0.6806172035387452
113,These companies are tried and tested suppliers with whom we have developed close working relationships over a number of projects,0,0,0.6421938059424203
114,"They are well- known to us and are vetted to ensure that the supplier continues to meet our requirements in terms of quality and reliability of delivery, health and safety and anti-slavery standards",0,0,0.5642660370656906
115,Buro Happold has a strong human resources team globally and our procedures for engaging sub-consultants requires due diligence checks on the company status,0,0,0.6054123709364481
116,During 2022/23 there are no reported concerns relating to slavery and human trafficking via our whistleblowing channel,1,0,0.5377283420500345
117,consider training requirements for business services staff to ensure a high level of understanding the risks of modern slavery and human trafficking in our supply chain or any part of our business,0,0,0.5813256996468523
118,Insert modern slavery provisions into our standard sub-consultancy or supplier agreements,0,0,0.5580071265094779
119,"STRUCTURE OF OUR BUSINESS AND SUPPLY CHAINS Acteon provides specialist engineering, services and technology to companies who develop and own marine infrastructure across the life of their assets",0,0,0.5896079820761518
120,We enable our customers to achieve their operational goals with a more efficient integrated solution: reducing the cost and carbon footprint through value engineering without compromising the quality of delivery,0,0,0.6552950700784638
121,Acteon delivers support through the following service divisions1,0,0,0.6008918672973376
122,"Our customers include global operators, developers, and contractors",0,0,0.6336444892235565
123,"We are also supported by business partners (which include agents, distributors, and joint venture partners) across the world, particularly in emerging markets",0,0,0.645290252570567
124,"DATA AND ROBOTICS includes the segments Geo-services (UTEC, Benthic and TerraSond) and Electronics and Tooling (Seatronics and J2 Subsea) and the business unit Structural Monitoring (Pulse Structural Monitoring)",0,0,0.5791745068500006
125,"DATA AND ROBOTICS includes the segments Geo-services (UTEC, Benthic and TerraSond) and Electronics and Tooling (Seatronics and J2 Subsea) and the business unit Structural Monitoring (Pulse Structural Monitoring)",0,0,0.5791745068500006
126,"ENGINEERING, MOORINGS AND FOUNDATIONS includes the segments Advanced Systems Engineering (2H Offshore Engineering and Clarus Subsea), Mooring and Anchors (InterMoor and Bruce Anchor) and Marine Foundations (MENCK and Large Diameter Drilling)",0,0,0.5960272017512863
127,"ENGINEERING, MOORINGS AND FOUNDATIONS includes the segments Advanced Systems Engineering (2H Offshore Engineering and Clarus Subsea), Mooring and Anchors (InterMoor and Bruce Anchor) and Marine Foundations (MENCK and Large Diameter Drilling)",0,0,0.5960272017512863
128,"ENERGY SERVICES includes the segment Cutting and Decommissioning (Claxton Engineering Services and Probe Oil Tools) and the business units Flex-Lay and Retrieval (Aquatic Engineering & Construction), Corrosion Management (Deepwater) and Energy Resourcing (TEAM Energy Resources)",0,0,0.593919659507788
129,"ENERGY SERVICES includes the segment Cutting and Decommissioning (Claxton Engineering Services and Probe Oil Tools) and the business units Flex-Lay and Retrieval (Aquatic Engineering & Construction), Corrosion Management (Deepwater) and Energy Resourcing (TEAM Energy Resources)",0,0,0.593919659507788
130,"Acteons Data and Robotics division provides a suite of smart solutions for the entire lifecycle of an asset, including advanced geotechnical and geophysical site investigation, surveying, subsea electronics and robotics, and asset integrity monitoring",0,0,0.6250986656742185
131,"Acteons Engineering, Moorings and Foundations division delivers a complete service from initial concept engineering through design, fabrication, and on to marine installation",0,0,0.6462325522545613
132,Acteons Energy Services division supports oil and gas and other offshore energy sectors,0,0,0.6058415155915312
133,"We bring bespoke solutions to maximise an assets performance, often towards the end of its production life through structural improvements, corrosion protection retrofitting and eventual decommissioning",0,0,0.645786988009822
134,Our approach and commitment are communicated across the Group via our Anti-Slavery Policy which was adopted in 2017 and updated in 2021,0,0,0.5144468342388028
135,The Anti-Slavery Policy also forms part of Acteons Compliance Handbook which is accessible to all staff via Acteons Human Resources portal and intranet,1,0,0.5059238714366836
136,Staff are required to confirm annually that they have read and understood the contents of the handbook,0,0,0.6249361434659265
137,Acteon upholds a policy of non-retaliation or victimisation against anyone who reports concerns about slavery and human trafficking,1,0,0.6860711340066497
138,"Staff can report these concerns in various ways including to line managers, compliance leads/advocates, Acteons compliance team, or via Acteons third-party operated compliance helpline and confidential web reporting system",0,0,0.5730740160691543
139,Business partners are also made aware of our slavery and human trafficking commitments and are asked to provide contractual assurances that they too will uphold the same standards,0,0,0.5192440182149345
140,DUE DILIGENCE PROCESSES Our updated supplier due diligence process is now well established in the UK and designed to ensure we only work with suppliers who uphold the same standards and conduct similar processes to ensure slavery or human trafficking is not part of their own business or supply chains,1,0,0.5285823450548912
141,We also include robust wording in supplier contracts,0,0,0.6063275706357313
142,We ask,0,0,0.6161613290506646
143,for confirmation the supplier does not use slavery or forced/compulsory labour,1,0,0.5114355327055478
144,what steps the supplier takes to investigate its own supply chain,0,0,0.5311989773507477
145,for confirmation the supplier has a policy or statement on slavery and human trafficking; and,0,0,0.630129319292074
146,for a copy of their own statement or confirmation they are not required to prepare one,0,0,0.5600296835527224
147,"All business partners go through a strict approval process which includes risk-based due diligence such as screening against a range of risks (eg sanctions, adverse media, regulatory action)",0,0,0.6358092527840076
148,Slavery and human trafficking obligations also form part of the contractual arrangements,0,0,0.5905472713658584
149,Auditors of suppliers and business partners are also made aware to look for any signs of slavery or human trafficking and to report any concerns accordingly,0,0,0.5538260798380811
150,Tools such as the Global Slavery Index are used to assist in assessing risk level (www.globalslaveryindex.org),0,0,0.5157203980245625
151,Acteon acknowledges that the risk of slavery and human trafficking in our core supply chains is low due to the highly skilled nature of a lot of the work and the localities in which that work is sourced,0,0,0.5630444377692035
152,"However certain pockets of risk have been identified, for example, procurement in less familiar geographies or for scopes of work including vessels where low skilled manual labour may be utilised",0,0,0.5436829846233104
153,MEASURING EFFECTIVENESS We undertake audits asking Acteon companies to confirm,0,0,0.5878020956462914
154,Actions taken to minimise the risk of slavery or forced labour,1,0,0.501757538822659
155,"Details of due diligence processes completed, initiated or (existing processes) amended",0,0,0.5664402715016311
156,"Status of risk assessments analysing relevant risks, details of the severity of any risks identified and plan to mitigate risks",0,0,0.6325369120675356
157,KPIs introduced or to be introduced to measure progress in mitigating any risks identified,0,0,0.5459868968781585
158,Staff training completed or planned; and,0,0,0.6163250678087728
159,Confirmation of completion of any outstanding actions from previous years,0,0,0.6710982767458384
160,The responses demonstrate a high level of awareness and compliance with Acteons policies and processes on slavery and human trafficking and a move towards standardisation in processes across segments where practices may previously have differed,0,0,0.6711020368137226
161,TRAINING FOR STAFF Induction training is given to all staff on all areas covered by the Acteon Compliance Handbook (including slavery and human trafficking),0,0,0.594305719717098
162,"Within that training, staff are encouraged to report all concerns via one of the reporting routes which includes speaking to a manager, compliance representative or the Acteon Compliance Team, or using one of the third party managed web or phone-based reporting systems",0,0,0.6051426910029583
163,Acteon is also committed to establishing a sustainable ESG strategy which includes a focus on the social impact Acteon has both to individuals within its own business and its supply chains,0,0,0.6394049131982373
164,Measures concerning the prevention of modern slavery and other forms of human exploitation are part of this strategy,0,0,0.5934577225403963
165,"Introduction We, GCX, are a global provider of data telecommunications managed services and subsea cabled telecommunications infrastructure capacity services",0,0,0.674531065243192
166,We are the parent company of the Vanco (data managed services) and Flag (subsea telecommunications capacity services) sub-groups of subsidiary companies,0,0,0.6667253627602431
167,"Supply Chain and Supplier Due Diligence GCX is a global network services provider, and we procure a range of goods and services to meet our customers needs",0,0,0.612227860648495
168,"The majority of our external spend is with suppliers that provide us with network infrastructure, IT, and related services",0,0,0.6243806344889545
169,"Our procurement processes and procedures require that an appropriate level of due diligence be conducted on prospective suppliers before they are appointed, or any expenditure is committed",0,0,0.5831884649708744
170,"Reporting a concern Should any GCX Staff have any questions or concerns about this statement, or wish to make disclosures anonymously, they can be discussed with your manager, your Head of Department, any member of management, HR, or you can raise a report via the GCX Speak Up Line",0,0,0.5900724033310095
171,"Complaints will be treated in confidence and investigated, as appropriate",0,0,0.5175957748925892
172,"Complaints will be treated in confidence and investigated, as appropriate",0,0,0.5175957748925892
173,Jardine Motors Group UK Limited (JMG UK) has operated in the UK through its wholly owned subsidiaries,0,0,0.6128360185700621
174,Jardine Motors Group UK Limited (JMG UK) has operated in the UK through its wholly owned subsidiaries,0,0,0.6128360185700621
175,JMG UK represents some of the worlds most prestigious and recognised car marques,0,0,0.6099504519007758
176,"We operate a number of motor vehicle franchises in approximately 50 locations, now trading under the name of Jardine, and we employ nearly 3,000 people",0,0,0.6738038992632993
177,"We operate a number of motor vehicle franchises in approximately 50 locations, now trading under the name of Jardine, and we employ nearly 3,000 people",0,0,0.6738038992632993
178,"Our business operations include the sale of new and used vehicles, parts, service, finance and insurance",0,0,0.6444030097979281
179,"When we talk about JMG UK, we or us in this Statement, we mean our wholly owned group companies which include",0,0,0.5908998986733929
180,Jardine Specialist Cars Limited,0,0,0.6680006877740498
181,Jardine Automotive Limited,0,0,0.6839666023960104
182,Jardine Luxury Vehicles Limited,0,0,0.6580817782559367
183,Jardine Cars Limited,0,0,0.6778058430925687
184,Jardine Sports Cars Limited,0,0,0.673933330504414
185,Lancaster plc,0,0,0.6653975996382568
186,Abridge Loughton TPS Limited; and,0,0,0.6360903736811683
187,Wayside Trade Parts Limited,0,0,0.6610316392654253
188,Our supply chain is diverse and consists of the following,0,0,0.5734756606015032
189,"new and used motor vehicles, components and products supplied by the relevant vehicle manufacturers, who in turn are required to publish their own modern slavery statements",0,0,0.5293192530147307
190,"used motor vehicles purchased from private individuals, businesses and other motor retail companies primarily based in the UK; and",0,0,0.6986764354725536
191,"indirect goods, services, products and parts purchased from businesses primarily based in the UK",0,0,0.6718700027415693
192,"As part of our efforts to monitor and reduce the risk of slavery and human trafficking occurring within our supply chains, we have adopted a number of policies and procedures, setting expectations for the conduct of ourselves and those that work with us",1,0,0.5176182923761872
193,This includes,0,0,0.566215707903363
194,The Code of Practice was rolled out across the supplier base in early 2021,0,0,0.5682198093161174
195,requiring our suppliers to comply with our contractual standards on ethical practices,0,0,0.6143828287897952
196,informing our people through the Company Handbook of the steps that we are taking in relation to managing the risks of modern slavery and human trafficking in our business and supply chains,0,0,0.5728941955606642
197,requiring our people to review the risk of slavery and human trafficking in our business and supply chains; and,0,0,0.5711490681300203
198,"operating a Whistleblowing hotline, enabling our people to report and raise any concerns, including those that relate to human rights violations such as modern slavery",0,0,0.5742557168957739
199,"Our employees repeat that training every year and we monitor our compliance with this requirement, sending reminders to anyone who is due to complete their training",0,0,0.6040112464120557
200,"MODERN SLAVERY ACT STATEMENT This Modern Slavery Act statement (Statement) is made pursuant to section 54(1) of the UK Modern Slavery Act 2015 (""Modern Slavery Act"") on behalf of Teekay Corporation (""TKC), Teekay Tankers Ltd (TNK) and their subsidiaries (collectively, Teekay, we, us, our) for the financial year end, 31 December 2023, and for the period 1 January 2023 to 31 December 2023",0,0,0.5288354322430915
201,Our Business Structure and Supply Chain Teekay is a leading provider of international crude oil and other marine transportation services,0,0,0.6364657991833841
202,"Teekay Corporation (NYSE: TK) provides these services directly and through its controlling ownership interest in Teekay Tankers Ltd (NYSE:TNK), one of the worlds largest owners and operators of mid-sized crude tankers",0,0,0.5897285041223762
203,"Teekay Corporation (NYSE: TK) provides these services directly and through its controlling ownership interest in Teekay Tankers Ltd (NYSE:TNK), one of the worlds largest owners and operators of mid-sized crude tankers",0,0,0.5897285041223762
204,The consolidated Teekay entities manage and operate approximately 64 conventional tankers and other marine assets,0,0,0.6104850995789831
205,"With offices in 8 countries and approximately 2,300 seagoing and shore-based employees, Teekay provides a comprehensive set of marine services to the worlds leading energy companies",0,0,0.604066195783554
206,"With offices in 8 countries and approximately 2,300 seagoing and shore-based employees, Teekay provides a comprehensive set of marine services to the worlds leading energy companies",0,0,0.604066195783554
207,"Our policies to prevent business ethics violations, including in relation to modern slavery, are summarized below",1,0,0.518755458882021
208,"Our Standards of Business Conduct (Standards), which may be found in the Investors/Governance section of our corporate website (www.teekay.com), is the cornerstone of our business ethics program",0,0,0.5461272876696338
209,"These Standards, which are mandatory for Teekay personnel, set out the rules of ethical conduct that all Teekay personnel must follow",0,0,0.5648001547559257
210,The Standards reinforce our zero-tolerance approach towards business ethics violations such as modern slavery and provide rules and guidance related to,1,0,0.6282486795906047
211,"the prevention of slavery, forced labour, human trafficking, child labour and any other violation of the Modern Slavery Act or related legislation; performing risk-based due diligence to check the business ethics of our counterparties including their commitment to prevent modern slavery offences; including business ethics (and modern slavery) undertakings in our contracts; reporting suspected breach of our Standards including in relation to modern slavery; safeguarding the environment and promoting sustainability; preventing corruption, sanctions, trade control and proscribed person violations; keeping accurate financial records and maintaining effective internal controls; preventing fraud, money laundering and any facilitation of tax evasion; protecting privacy and confidentiality; and avoiding conflict of interests and unauthorized political contributions",0,0,0.6004132885016775
212,Our Compliance Guide (Guide) supplements the Standards of Business Conduct,0,0,0.5580757952206643
213,This Guide provides instruction and detailed guidance to enable Teekay personnel to understand and adhere to the Standards of Business Conduct on a practical level,0,0,0.5889134527795284
214,"The Guide contains case studies, including in relation to the Modern Slavery Act, to demonstrate how personnel should conduct themselves when faced with business decisions that involve integrity issues",0,0,0.5732302434787471
