sentence_id,statement_id,sentence,prediction,targets,confidence
46,SID_406,Raisio is a participant in the UN Global Compact initiative,0,0,0.597037827138492
47,SID_406,All Raisios suppliers and sub-contractors are expected to comply with Raisios Supplier Code of Conduct,0,0,0.5651152060708147
54,SID_406,"Risk assessments Raisio is a listed company headquartered in Raisio, Finland",0,0,0.5586082983431501
57,SID_406,Raisios biggest human rights risks are typical for the food industry,0,0,0.43950241319348743
58,SID_406,The major risks are related to long procurement chains and procurement of labour-intensive raw materials,0,0,0.5384858788558508
62,SID_406,"Currently, most of Raisios raw materials and services are purchased from low-risk countries, such as Finland and Central Europe",0,0,0.6118586274337987
62,SID_406,"Currently, most of Raisios raw materials and services are purchased from low-risk countries, such as Finland and Central Europe",0,0,0.6118586274337987
63,SID_406,"Part of Raisios products are produced by our well-selected subcontractors, all located in Europe",0,0,0.642497977540046
68,SID_406,Raisios risk survey indicates that Raisios major human right risks lay in our supply chain,0,0,0.5591126376387625
69,SID_406,"Main risks are related to the purchase of soya, palm oil and cocoa, which together account for less than 1 per cent of all raw materials used by Raisio",0,0,0.5402736329214475
71,SID_406,"In 2022 we added berries and fruit, as well as their purees, jams and concentrates, to the list of risk raw materials in 2022, although the proportion of berries and fruit in our total raw materials is small being approximately 0.6%",0,0,0.5624702851075257
72,SID_406,"Their classification as risk raw materials is not based on country classification or an individual raw material, but on the fact that their collection and cultivation is highly labour-intensive and thus introduces the possibility of human rights risks even in countries that are not generally classified as risk countries",0,0,0.5374414262568944
73,SID_406,"To minimise the risks, we review the processes of our partners who supply us with berries, fruit and their purees, jams and concentrates to ensure the responsibility of their raw materials and related sourcing",0,0,0.5506375216806862
76,SID_406,"Risk profile consists of quality, food safety and sustainability aspects, among others",0,0,0.5584992085437906
80,SID_406,In 2021 we introduced an electronic reporting channel to report any suspicions of abuse,0,0,0.51564474236442
81,SID_406,"The channel is available not only to employees, but also to Raisio Groups customers, partners and other stakeholders, as required by the European Unions Whistleblowing Directive",0,0,0.5898892632318622
82,SID_406,"The channel can be used to report suspicions of activities that do not comply with Raisios values, ethical guidelines or applicable laws",0,0,0.6063494142403948
84,SID_406,"anonymity of the reports, the reporting channel is managed by an external partner, WhistleB, Whistleblowing Centre",0,0,0.4891320502261676
87,SID_438,Global human rights policy Our Code of Business Ethics sets our companys foundational principles: we are committed to the highest standards in human rights,0,0,0.587967640275353
90,SID_406,"In the summer of 2022, we organised a training course on human rights for all of our employees",0,0,0.5828523801129967
92,SID_406,Further steps Raisio is not aware of any human right or labour right violations related to its operations,1,1,0.6812100106816853
103,SID_408,About the Group Howden Group Holdings is a leading international insurance group with employee ownership at its heart,0,0,0.6008923557146175
103,SID_408,About the Group Howden Group Holdings is a leading international insurance group with employee ownership at its heart,0,0,0.6008923557146175
104,SID_408,"Founded in 1994, its trading operations comprise retail and specialty insurance broking, reinsurance broking, managing general agencies (MGAs), provision of employee benefit solutions and digital, data and analytic services for the insurance industry",0,0,0.6315365788354564
105,SID_408,"We are an international business, headquartered in London, with offices in 55 countries, including over 200 local offices in the UK & Ireland",0,0,0.667070303860785
105,SID_408,"We are an international business, headquartered in London, with offices in 55 countries, including over 200 local offices in the UK & Ireland",0,0,0.667070303860785
106,SID_408,"We operate across Europe, Africa, Asia, the Middle East, Latin America, the USA, Australia and New Zealand, employing 16,000 people",0,0,0.6637313336451378
106,SID_408,"We operate across Europe, Africa, Asia, the Middle East, Latin America, the USA, Australia and New Zealand, employing 16,000 people",0,0,0.6637313336451378
116,SID_408,"As a professional service provider, we believe that insurance is not deemed to be a key risk sector as our employees work in roles that are primarily office based and/or generally require specialist qualifications",0,0,0.4311507033899269
117,SID_408,"Therefore, we have assessed our risk of practices which might be considered to comprise modern slavery to be low",0,0,0.47266018489322087
119,SID_408,"Our supply chain Our supply chain primarily consists of professional, IT, insurance, and consulting services, along with property and purchased equipment, and our use of hospitality and travel providers",0,0,0.6399598832858558
120,SID_408,Howden Group Holdings - Slavery and Human Trafficking Statement 2023 3 We continue to evaluate the risks of each of our supplier groups and the most effective methods and procedures to identify and eliminate the risk of modern slavery or human rights breaches,1,0,0.604132391397958
121,SID_408,Due diligence We continue to work on programmes and initiatives across our business to embed the evaluation and communication of our modern slavery and human rights requirements into supplier selection and management activities,0,0,0.58679905871657
123,SID_408,We have been bringing vendors onto the tool and we will continue to onboard our suppliers onto it,0,0,0.6594818202840027
124,SID_408,"Where appropriate, vendors will then be subject to third party monitoring and will be required to complete due diligence questionnaires",0,0,0.6002019216698351
125,SID_408,Training Training is available to staff members to understand the risks of modern slavery and human trafficking in our supply chains and business,0,0,0.5930306819999186
126,SID_408,"This training covers an explanation of what constitutes modern slavery and high-risk areas, warning signs to be aware of and what action or steps to take in response",0,0,0.5734471322171638
127,SID_408,The Group continues to roll out the modern slavery module of this through compliance training for each business and their employees,0,0,0.4390575650732096
128,SID_408,Policies The Group has a number of policies to mitigate the risk of modern slavery and set out steps to be taken to prevent slavery and human trafficking in its operations,0,0,0.5372523450831956
130,SID_408,"Whistleblowing The Group encourages all its employees, external third-parties or counterparties (eg customers and other business partners) to report any concerns related to the direct activities, or the supply chains of the organisation",0,0,0.5339232186447979
131,SID_408,This includes any circumstances that may give rise to an enhanced risk of slavery or human trafficking,0,0,0.631516778726688
133,SID_408,The Groups whistleblowing procedure is designed to make it easy for any individual to make disclosures without fear of retaliation,0,0,0.5381948313162153
136,SID_408,"Alternatively, disclosures can be reported by employees notifying their line manager or a senior member in Human Resources, who will conduct or arrange for a senior individual to conduct an anonymous investigation",0,0,0.5779761407236607
143,SID_450,"Those policies include the Code of Conduct (the Code) which is focused on maintaining positive relationships with all stakeholders, including government authorities, business partners, suppliers and the wider communities in which Jadestone works",0,0,0.5338281903053101
144,SID_408,"This will set the expectations of our suppliers on key ethical, social and environmental principles including human rights and labour practices",0,0,0.5466553613462771
148,SID_411,"Modern Slavery and Human Trafficking Statement October 2023 Modern Slavery and Human Trafficking Statement Happold LLP, known as Buro Happold, is an international integrated engineering consultancy operating in 37 locations worldwide with over 80 partners and over 2,500 employees",0,0,0.5010686806478161
148,SID_411,"Modern Slavery and Human Trafficking Statement October 2023 Modern Slavery and Human Trafficking Statement Happold LLP, known as Buro Happold, is an international integrated engineering consultancy operating in 37 locations worldwide with over 80 partners and over 2,500 employees",0,0,0.5010686806478161
149,SID_411,"For over 45 years, Buro Happold has been building an unrivalled reputation for delivering creative, value- led solutions for the benefit of people, places and planet",0,0,0.6487263251914978
150,SID_411,"The principal activity of Buro Happold group is that of engineers, designers and advisers providing professional, integrated services to clients that include the property and construction sectors, city administrations and campus portfolio owners",0,0,0.6276372655104976
151,SID_411,"Buro Happolds supply chain primarily comprises professional infrastructure consultancy providers, acting as sub- consultants",0,0,0.5900066663572954
152,SID_411,"We also directly engage suppliers of services for our offices, such as facilities management, travel, insurance and office equipment",0,0,0.6676845279737657
154,SID_411,"The types of infrastructure sub-consultants we typically engage include: architects; surveyors; geotechnical or environmental consultants; IT consultants; economic/financial consultants; acoustic, lighting or security consultants; and BIM suppliers",0,0,0.6193654957027205
155,SID_411,As a professional service organisation the risks associated with slavery and human trafficking are objectively low,0,0,0.4625973489854654
156,SID_411,"Key areas of risk include outsourced low wage jobs such as office cleaners, catering and other support staff",0,0,0.582065977809256
158,SID_411,all staff including temporary workers are paid the National Living Wage,0,0,0.6756229021003002
160,SID_411,"all staff, including temporary workers have a written contract of employment",0,0,0.6310219836425207
163,SID_411,promotion of our whistleblowing policy encouraging external stakeholders or employees to raise any concerns,0,0,0.5926130284711489
166,SID_411,Our Modern Slavery Policy reflects our commitment to acting ethically and with integrity in all our business relationships and implementing and enforcing effective systems and controls to ensure slavery and human trafficking is not taking place anywhere in our supply chain or any part of our business,0,0,0.4308344364331053
170,SID_411,A range of Modern Slavery assessment criteria are integrated into our Health & Safety project site inspections reports,0,0,0.5136928976153101
171,SID_411,This allows high level evaluation of workers on-site welfare facilities and allows any identified breaches to be escalated and investigated further,0,0,0.5718657914622006
172,SID_411,Buro Happold outsources a relatively small proportion of our work to delivery suppliers,0,0,0.5791589772623188
177,SID_411,During 2022/23 there are no reported concerns relating to slavery and human trafficking via our whistleblowing channel,0,0,0.4622716579499655
179,SID_411,Buro Happold aims to take the following steps for 2023/24,0,0,0.5517744738770962
181,SID_411,consider training requirements for business services staff to ensure a high level of understanding the risks of modern slavery and human trafficking in our supply chain or any part of our business,0,0,0.5813256996468523
182,SID_411,Insert modern slavery provisions into our standard sub-consultancy or supplier agreements,0,0,0.5580071265094779
191,SID_412,"STRUCTURE OF OUR BUSINESS AND SUPPLY CHAINS Acteon provides specialist engineering, services and technology to companies who develop and own marine infrastructure across the life of their assets",0,0,0.5896079820761518
192,SID_412,We enable our customers to achieve their operational goals with a more efficient integrated solution: reducing the cost and carbon footprint through value engineering without compromising the quality of delivery,0,0,0.6552950700784638
193,SID_412,Acteon delivers support through the following service divisions1,0,0,0.6008918672973376
194,SID_412,"Our customers include global operators, developers, and contractors",0,0,0.6336444892235565
195,SID_412,We utilise suppliers to assist in offering these capabilities to customers,0,0,0.6106722836121421
198,SID_412,"DATA AND ROBOTICS includes the segments Geo-services (UTEC, Benthic and TerraSond) and Electronics and Tooling (Seatronics and J2 Subsea) and the business unit Structural Monitoring (Pulse Structural Monitoring)",0,0,0.5791745068500006
199,SID_412,"ENGINEERING, MOORINGS AND FOUNDATIONS includes the segments Advanced Systems Engineering (2H Offshore Engineering and Clarus Subsea), Mooring and Anchors (InterMoor and Bruce Anchor) and Marine Foundations (MENCK and Large Diameter Drilling)",0,0,0.5960272017512863
200,SID_412,"ENERGY SERVICES includes the segment Cutting and Decommissioning (Claxton Engineering Services and Probe Oil Tools) and the business units Flex-Lay and Retrieval (Aquatic Engineering & Construction), Corrosion Management (Deepwater) and Energy Resourcing (TEAM Energy Resources)",0,0,0.593919659507788
201,SID_412,"Acteons Data and Robotics division provides a suite of smart solutions for the entire lifecycle of an asset, including advanced geotechnical and geophysical site investigation, surveying, subsea electronics and robotics, and asset integrity monitoring",0,0,0.6250986656742185
202,SID_412,"Acteons Engineering, Moorings and Foundations division delivers a complete service from initial concept engineering through design, fabrication, and on to marine installation",0,0,0.6462325522545613
203,SID_412,Acteons Energy Services division supports oil and gas and other offshore energy sectors,0,0,0.6058415155915312
204,SID_412,"We bring bespoke solutions to maximise an assets performance, often towards the end of its production life through structural improvements, corrosion protection retrofitting and eventual decommissioning",0,0,0.645786988009822
207,SID_412,Our approach and commitment are communicated across the Group via our Anti-Slavery Policy which was adopted in 2017 and updated in 2021,0,0,0.5144468342388028
208,SID_412,The Anti-Slavery Policy also forms part of Acteons Compliance Handbook which is accessible to all staff via Acteons Human Resources portal and intranet,0,0,0.49407612856331645
209,SID_412,Staff are required to confirm annually that they have read and understood the contents of the handbook,0,0,0.6249361434659265
210,SID_412,Acteon upholds a policy of non-retaliation or victimisation against anyone who reports concerns about slavery and human trafficking,1,0,0.6860711340066497
211,SID_412,"Staff can report these concerns in various ways including to line managers, compliance leads/advocates, Acteons compliance team, or via Acteons third-party operated compliance helpline and confidential web reporting system",0,0,0.5730740160691543
212,SID_412,Business partners are also made aware of our slavery and human trafficking commitments and are asked to provide contractual assurances that they too will uphold the same standards,0,0,0.5192440182149345
213,SID_412,DUE DILIGENCE PROCESSES Our updated supplier due diligence process is now well established in the UK and designed to ensure we only work with suppliers who uphold the same standards and conduct similar processes to ensure slavery or human trafficking is not part of their own business or supply chains,0,0,0.47141765494510873
214,SID_412,We also include robust wording in supplier contracts,0,0,0.6063275706357313
216,SID_412,for confirmation the supplier does not use slavery or forced/compulsory labour,0,0,0.48856446729445224
217,SID_412,what steps the supplier takes to investigate its own supply chain,0,0,0.5311989773507477
218,SID_412,for confirmation the supplier has a policy or statement on slavery and human trafficking; and,0,0,0.630129319292074
220,SID_412,"All business partners go through a strict approval process which includes risk-based due diligence such as screening against a range of risks (eg sanctions, adverse media, regulatory action)",0,0,0.6358092527840076
222,SID_412,Auditors of suppliers and business partners are also made aware to look for any signs of slavery or human trafficking and to report any concerns accordingly,0,0,0.5538260798380811
225,SID_412,Acteon acknowledges that the risk of slavery and human trafficking in our core supply chains is low due to the highly skilled nature of a lot of the work and the localities in which that work is sourced,0,0,0.5630444377692035
226,SID_412,"However certain pockets of risk have been identified, for example, procurement in less familiar geographies or for scopes of work including vessels where low skilled manual labour may be utilised",0,0,0.5436829846233104
227,SID_412,MEASURING EFFECTIVENESS We undertake audits asking Acteon companies to confirm,0,0,0.5878020956462914
229,SID_476,Supplier Code of Conduct Tenon fm is committed to ensuring that its suppliers adhere to the highest standards of ethics,0,0,0.5672006243818848
230,SID_412,"Details of due diligence processes completed, initiated or (existing processes) amended",0,0,0.5664402715016311
234,SID_412,Staff training completed or planned; and,0,0,0.6163250678087728
238,SID_412,TRAINING FOR STAFF Induction training is given to all staff on all areas covered by the Acteon Compliance Handbook (including slavery and human trafficking),0,0,0.594305719717098
239,SID_412,"Within that training, staff are encouraged to report all concerns via one of the reporting routes which includes speaking to a manager, compliance representative or the Acteon Compliance Team, or using one of the third party managed web or phone-based reporting systems",0,0,0.6051426910029583
259,SID_414,Business Unit Heads and other stakeholders should review the amendment control sheets and should give feedback to GCX HR within a fortnight,0,0,0.558173086248433
263,SID_414,"Introduction We, GCX, are a global provider of data telecommunications managed services and subsea cabled telecommunications infrastructure capacity services",0,0,0.674531065243192
264,SID_414,We are the parent company of the Vanco (data managed services) and Flag (subsea telecommunications capacity services) sub-groups of subsidiary companies,0,0,0.6667253627602431
272,SID_414,"Supply Chain and Supplier Due Diligence GCX is a global network services provider, and we procure a range of goods and services to meet our customers needs",0,0,0.612227860648495
273,SID_414,"The majority of our external spend is with suppliers that provide us with network infrastructure, IT, and related services",0,0,0.6243806344889545
276,SID_414,"Our procurement processes and procedures require that an appropriate level of due diligence be conducted on prospective suppliers before they are appointed, or any expenditure is committed",0,0,0.5831884649708744
280,SID_414,"Reporting a concern Should any GCX Staff have any questions or concerns about this statement, or wish to make disclosures anonymously, they can be discussed with your manager, your Head of Department, any member of management, HR, or you can raise a report via the GCX Speak Up Line",0,0,0.5900724033310095
282,SID_479,"We have reinforced this with an updated Supplier Code of Conduct that sets out our expectations for suppliers on business ethics and integrity, health and safety, environment and labour rights, and specifically highlights labour practices",0,0,0.5595299104207336
291,SID_416,JMG UK represents some of the worlds most prestigious and recognised car marques,0,0,0.6099504519007758
292,SID_416,"We operate a number of motor vehicle franchises in approximately 50 locations, now trading under the name of Jardine, and we employ nearly 3,000 people",0,0,0.6738038992632993
292,SID_416,"We operate a number of motor vehicle franchises in approximately 50 locations, now trading under the name of Jardine, and we employ nearly 3,000 people",0,0,0.6738038992632993
293,SID_416,"Our business operations include the sale of new and used vehicles, parts, service, finance and insurance",0,0,0.6444030097979281
294,SID_416,"When we talk about JMG UK, we or us in this Statement, we mean our wholly owned group companies which include",0,0,0.5908998986733929
301,SID_416,Abridge Loughton TPS Limited; and,0,0,0.6360903736811683
302,SID_416,Wayside Trade Parts Limited,0,0,0.6610316392654253
306,SID_416,Our supply chain is diverse and consists of the following,0,0,0.5734756606015032
308,SID_416,"used motor vehicles purchased from private individuals, businesses and other motor retail companies primarily based in the UK; and",0,0,0.6986764354725536
309,SID_416,"indirect goods, services, products and parts purchased from businesses primarily based in the UK",0,0,0.6718700027415693
311,SID_416,We operate a risk-based approach that is designed to enable efforts to be focused where they are most needed and can best help eradicate modern slavery,0,0,0.5244457358889567
312,SID_416,We monitor the performance of our medium and high-risk suppliers actions by using indicators to check that they are being effective in complying with their obligations under modern slavery legislation,0,0,0.5392596304267664
313,SID_416,"As part of our efforts to monitor and reduce the risk of slavery and human trafficking occurring within our supply chains, we have adopted a number of policies and procedures, setting expectations for the conduct of ourselves and those that work with us",0,0,0.48238170762381277
318,SID_416,informing our people through the Company Handbook of the steps that we are taking in relation to managing the risks of modern slavery and human trafficking in our business and supply chains,0,0,0.5728941955606642
319,SID_416,requiring our people to review the risk of slavery and human trafficking in our business and supply chains; and,0,0,0.5711490681300203
320,SID_416,"operating a Whistleblowing hotline, enabling our people to report and raise any concerns, including those that relate to human rights violations such as modern slavery",0,0,0.5742557168957739
325,SID_521,Our Code of Business Conduct reflects our commitment to acting ethically and with integrity in all our business relationships and to implementing and enforcing effective systems and controls to ensure slavery and human trafficking is not taking place anywhere in our supply chains,0,0,0.5152869787250186
344,SID_421,"MODERN SLAVERY ACT STATEMENT This Modern Slavery Act statement (Statement) is made pursuant to section 54(1) of the UK Modern Slavery Act 2015 (""Modern Slavery Act"") on behalf of Teekay Corporation (""TKC), Teekay Tankers Ltd (TNK) and their subsidiaries (collectively, Teekay, we, us, our) for the financial year end, 31 December 2023, and for the period 1 January 2023 to 31 December 2023",0,0,0.5288354322430915
346,SID_421,Our Business Structure and Supply Chain Teekay is a leading provider of international crude oil and other marine transportation services,0,0,0.6364657991833841
347,SID_421,"Teekay Corporation (NYSE: TK) provides these services directly and through its controlling ownership interest in Teekay Tankers Ltd (NYSE:TNK), one of the worlds largest owners and operators of mid-sized crude tankers",0,0,0.5897285041223762
348,SID_421,The consolidated Teekay entities manage and operate approximately 64 conventional tankers and other marine assets,0,0,0.6104850995789831
349,SID_421,"With offices in 8 countries and approximately 2,300 seagoing and shore-based employees, Teekay provides a comprehensive set of marine services to the worlds leading energy companies",0,0,0.604066195783554
349,SID_421,"With offices in 8 countries and approximately 2,300 seagoing and shore-based employees, Teekay provides a comprehensive set of marine services to the worlds leading energy companies",0,0,0.604066195783554
350,SID_421,"To meet our obligations and commitments to customers and stakeholders, Teekay engages with a reputable and international supply chain",0,0,0.6023973102399018
357,SID_421,"Our Standards of Business Conduct (Standards), which may be found in the Investors/Governance section of our corporate website (www.teekay.com), is the cornerstone of our business ethics program",0,0,0.5461272876696338
359,SID_421,The Standards reinforce our zero-tolerance approach towards business ethics violations such as modern slavery and provide rules and guidance related to,1,0,0.6282486795906047
361,SID_421,"the prevention of slavery, forced labour, human trafficking, child labour and any other violation of the Modern Slavery Act or related legislation; performing risk-based due diligence to check the business ethics of our counterparties including their commitment to prevent modern slavery offences; including business ethics (and modern slavery) undertakings in our contracts; reporting suspected breach of our Standards including in relation to modern slavery; safeguarding the environment and promoting sustainability; preventing corruption, sanctions, trade control and proscribed person violations; keeping accurate financial records and maintaining effective internal controls; preventing fraud, money laundering and any facilitation of tax evasion; protecting privacy and confidentiality; and avoiding conflict of interests and unauthorized political contributions",0,0,0.6004132885016775
364,SID_421,"The Guide contains case studies, including in relation to the Modern Slavery Act, to demonstrate how personnel should conduct themselves when faced with business decisions that involve integrity issues",0,0,0.5732302434787471
368,SID_421,Teekay will only engage recycling yards that demonstrate acceptable environmental and labour practices conforming to the Modern Slavery Act (or any other applicable legislation),0,0,0.5545171644662574
370,SID_421,Our Due Diligence Methodology Teekay has implemented a due diligence procedure that requires Teekay personnel to check and onboard those third parties that might reasonably present a compliance risk to Teekay,0,0,0.5768239938058509
371,SID_421,"As part of this process, Teekay checks the third parties track record and commitment to observe the Modern Slavery Act (or any other applicable legislation)",0,0,0.5413303962278638
373,SID_421,"Entities/persons that are provisionally assessed as a higher risk are subject to further evaluations, which may include due diligence questionnaires, interviews, certifications or external due diligence reports",0,0,0.5721800199109809
376,SID_421,"Business ethics clauses, which refer to the Modern Slavery Act, must be included in Teekay contracts and subcontracts in accordance with our Contract Review Procedure",0,0,0.48590293804699675
377,SID_421,Teekay requires its suppliers and service providers to take appropriate steps to prevent modern slavery in their supply chain and to strictly refrain from abusive labour practices in violation of the Modern Slavery Act,0,0,0.47957615603719606
378,SID_421,"Our Risk Management, Measurement and Monitoring Teekay observes all applicable laws and regulations including those requirements specified in the Sarbanes Oxley Act of 2002",0,0,0.6344854475208632
383,SID_421,"Business ethics, including modern slavery considerations, are routinely considered as part of these risk assessments",0,0,0.5529232887038272
384,SID_421,"Teekay recognizes that certain geographic areas (eg jurisdictions that score poorly in the Global Slavery Index), certain activities (eg work involving migrant, casual or less skilled labour), and certain transaction types (eg shipyards, manning agents), amongst other issues, may present heightened risk potential for modern slavery",0,0,0.5701606634733588
385,SID_421,"Teekay adopts a risk-based approach to coordinate its due diligence, training and monitoring efforts so that resources are allocated proportionately to assessed risks",0,0,0.559494227002502
386,SID_421,Teekays compliance program is reviewed and/or audited to promote objective feedback for continuous improvement,0,0,0.598783537516371
387,SID_421,"The Risk, Audit and Compliance team is also responsible for implementing and executing a regular audit plan, which investigates business ethics risks/concerns such as modern slavery",0,0,0.5672706628211552
390,SID_421,"We keep track of, and analyze, our due diligence, training, reporting and other relevant data to monitor the effectiveness of our efforts, to identify areas of improvement and to focus our resources on the most relevant issues",0,0,0.6194571153297762
391,SID_421,Our Training and Communications Teekay provides multiple business ethics training sessions as follows,0,0,0.5859734888383152
392,SID_421,A biennial in-person or virtual Doing Business with Integrity training (with a section covering modern slavery) session for all shore-based personnel,0,0,0.6072451177531648
395,SID_421,Video training and/or in-person risk relevant compliance training for our Masters/seafarers,0,0,0.627329097674356
398,SID_421,Regular communications (including videos on business ethics and modern slavery) are also published on Teekays intranet and by email,0,0,0.5915869887768022
399,SID_421,"Reporting Concerns Teekay personnel are required to report business ethics violations (including any suspected modern slavery offences) to the Director, Risk, Audit & Compliance, who reports to Teekays Audit Committees",0,0,0.5299446665217985
400,SID_421,"Personnel may also, at their option, report any suspected business ethics violation including human rights violations and abusive labour practices under the Modern Slavery Act through an anonymous and/or confidential hotline, the details of which are provided in Teekays Standards of Business Conduct on its website",0,0,0.5646372063290341
401,SID_421,"Authority and Approval This Statement has been approved by the Boards of Directors of Teekay Corporation and Teekay Tankers Ltd, and it extends to their subsidiaries, which include: Teekay Hummingbird Production Limited, Teekay Petrojarl Floating Production (UK) Ltd., Teekay Shipping (UK) Limited and Teekay Holdings Australia Pty",0,0,0.565941993021051
402,SID_421,"Ltd (who in turn consulted with the board of directors of each of its two subsidiaries, Teekay Marine Resources Pty",0,0,0.6572625376400658
403,SID_421,Ltd and Teekay Shipping (Australia) Pty,0,0,0.7262287339845672
404,SID_421,Ltd,0,0,0.6544239195927494
405,SID_421,Teekay Shipping (Australia) Pty,0,0,0.6518450068368185
406,SID_421,Ltd does not own or control any other entities and therefore further consultation as per Commonwealth of Australia Modern Slavery Act 2018 is not applicable.) A full list of Teekay Corporations subsidiaries is available in its list of subsidiaries in its latest Annual Report,0,0,0.5063335746508368
