sentence_id,statement_id,sentence,prediction,targets
156,SID_411,[0 0 0 0 0 0 1 0 0 0 0],0,0
158,SID_411,[0 0 0 0 0 0 0 1 0 0 0],0,0
160,SID_411,[0 0 0 0 0 0 0 1 0 0 0],0,0
163,SID_411,[0 0 0 0 0 0 0 1 0 0 0],0,0
166,SID_411,[0 0 0 0 0 0 0 1 0 0 0],0,0
170,SID_411,[0 0 0 0 0 0 0 1 0 0 0],0,0
171,SID_411,[0 0 0 0 0 0 0 1 0 0 0],0,0
172,SID_411,[0 0 0 0 0 1 0 0 0 0 0],0,0
177,SID_411,[0 0 0 0 0 0 0 0 0 1 0],0,0
179,SID_411,[0 0 0 0 0 0 0 1 0 0 0],1,0
181,SID_411,[0 0 0 0 0 0 0 1 0 0 0],0,1
182,SID_411,[0 0 0 0 0 0 0 1 0 0 0],0,1
191,SID_412,[0 0 0 0 1 0 0 0 0 0 0],0,0
192,SID_412,[0 0 0 0 1 0 0 0 0 0 0],0,0
193,SID_412,[0 0 0 0 1 0 0 0 0 0 0],0,0
194,SID_412,[0 0 0 0 1 0 0 0 0 0 0],0,0
195,SID_412,[0 0 0 0 0 1 0 0 0 0 0],0,0
198,SID_412,[0 0 0 0 1 0 0 0 0 0 0],0,0
199,SID_412,[0 0 0 0 1 0 0 0 0 0 0],0,0
200,SID_412,[0 0 0 0 1 0 0 0 0 0 0],0,0
201,SID_412,[0 0 0 0 1 0 0 0 0 0 0],0,0
202,SID_412,[0 0 0 0 1 0 0 0 0 0 0],0,0
203,SID_412,[0 0 0 0 1 0 0 0 0 0 0],0,0
204,SID_412,[0 0 0 0 1 0 0 0 0 0 0],0,0
207,SID_412,[0 0 0 0 0 0 0 1 0 0 0],0,0
208,SID_412,[0 0 0 0 0 0 0 1 0 0 0],0,0
209,SID_412,[0 0 0 0 0 0 0 1 0 0 0],0,0
210,SID_412,[0 0 0 0 0 0 0 1 0 0 0],0,0
211,SID_412,[0 0 0 0 0 0 0 1 0 0 0],0,0
212,SID_412,[0 0 0 0 0 0 0 1 0 0 0],1,0
213,SID_412,[0 0 0 0 0 0 0 1 0 0 0],0,0
214,SID_412,[0 0 0 0 0 0 0 1 0 0 0],0,0
216,SID_412,[0 0 0 0 0 0 0 1 0 0 0],0,0
217,SID_412,[0 0 0 0 0 0 0 1 0 0 0],0,0
218,SID_412,[0 0 0 0 0 0 0 1 0 0 0],0,0
220,SID_412,[0 0 0 0 0 0 0 1 0 0 0],0,0
222,SID_412,[0 0 0 0 0 0 0 1 0 0 0],0,0
225,SID_412,[0 0 0 0 0 0 1 0 0 0 0],0,0
226,SID_412,[0 0 0 0 0 0 1 0 0 0 0],0,0
227,SID_412,[0 0 0 0 0 0 0 0 0 1 0],0,0
229,SID_476,[0 0 0 0 0 0 0 1 0 0 0],0,0
230,SID_412,[0 0 0 0 0 0 0 0 0 1 0],0,0
234,SID_412,[0 0 0 0 0 0 0 0 0 1 0],1,0
238,SID_412,[0 0 0 0 0 0 0 1 0 0 0],0,0
239,SID_412,[0 0 0 0 0 0 0 1 0 0 0],0,0
259,SID_414,[0 0 0 0 0 0 0 0 0 1 0],0,0
263,SID_414,[0 0 0 0 1 0 0 0 0 0 0],0,0
264,SID_414,[0 0 0 1 0 0 0 0 0 0 0],0,0
272,SID_414,[0 0 0 0 0 1 0 0 0 0 0],0,0
273,SID_414,[0 0 0 0 0 1 0 0 0 0 0],0,0
276,SID_414,[0 0 0 0 0 0 0 1 0 0 0],0,0
280,SID_414,[0 0 0 0 0 0 0 1 0 0 0],0,0
282,SID_479,[0 0 0 0 0 0 0 1 0 0 0],1,0
291,SID_416,[0 0 0 0 1 0 0 0 0 0 0],0,0
292,SID_416,[0 0 0 1 1 0 0 0 0 0 0],0,0
292,SID_416,[0 0 0 1 1 0 0 0 0 0 0],0,0
293,SID_416,[0 0 0 0 1 0 0 0 0 0 0],0,0
294,SID_416,[0 0 0 1 0 0 0 0 0 0 0],0,0
301,SID_416,[0 0 0 1 0 0 0 0 0 0 0],0,0
302,SID_416,[0 0 0 1 0 0 0 0 0 0 0],0,0
306,SID_416,[0 0 0 0 0 1 0 0 0 0 0],0,0
308,SID_416,[0 0 0 0 0 1 0 0 0 0 0],0,0
309,SID_416,[0 0 0 0 0 1 0 0 0 0 0],0,0
311,SID_416,[0 0 0 0 0 0 0 1 0 0 0],0,0
312,SID_416,[0 0 0 0 0 0 0 0 0 1 0],0,0
313,SID_416,[0 0 0 0 0 0 0 1 0 0 0],1,0
318,SID_416,[0 0 0 0 0 0 0 1 0 0 0],0,0
319,SID_416,[0 0 0 0 0 0 0 1 0 0 0],0,0
320,SID_416,[0 0 0 0 0 0 0 1 0 0 0],0,0
325,SID_521,[0 0 0 0 0 0 0 1 0 0 0],0,0
344,SID_421,[0 0 1 1 0 0 0 0 0 0 0],0,0
346,SID_421,[0 0 0 0 1 0 0 0 0 0 0],0,0
347,SID_421,[0 0 0 0 1 0 0 0 0 0 0],0,0
348,SID_421,[0 0 0 0 1 0 0 0 0 0 0],0,0
349,SID_421,[0 0 0 1 1 0 0 0 0 0 0],0,0
349,SID_421,[0 0 0 1 1 0 0 0 0 0 0],0,0
350,SID_421,[0 0 0 0 0 1 0 0 0 0 0],0,0
357,SID_421,[0 0 0 0 0 0 0 1 0 0 0],0,0
359,SID_421,[0 0 0 0 0 0 0 1 0 0 0],0,0
361,SID_421,[0 0 0 0 0 0 0 1 0 0 0],0,0
364,SID_421,[0 0 0 0 0 0 0 1 0 0 0],0,0
368,SID_421,[0 0 0 0 0 0 0 1 0 0 0],1,0
370,SID_421,[0 0 0 0 0 0 0 1 0 0 0],0,0
371,SID_421,[0 0 0 0 0 0 0 1 0 0 0],0,0
373,SID_421,[0 0 0 0 0 0 0 1 0 0 0],1,0
376,SID_421,[0 0 0 0 0 0 0 1 0 0 0],0,0
377,SID_421,[0 0 0 0 0 0 0 1 0 0 0],0,0
378,SID_421,[0 0 0 0 0 0 0 1 0 0 0],0,0
383,SID_421,[0 0 0 0 0 0 0 1 0 0 0],0,0
384,SID_421,[0 0 0 0 0 0 1 0 0 0 0],0,0
385,SID_421,[0 0 0 0 0 0 0 1 0 0 0],0,0
386,SID_421,[0 0 0 0 0 0 0 0 0 1 0],0,0
387,SID_421,[0 0 0 0 0 0 0 1 0 0 0],1,0
390,SID_421,[0 0 0 0 0 0 0 0 0 1 0],0,0
391,SID_421,[0 0 0 0 0 0 0 1 0 0 0],0,0
392,SID_421,[0 0 0 0 0 0 0 1 0 0 0],0,0
395,SID_421,[0 0 0 0 0 0 0 1 0 0 0],0,0
398,SID_421,[0 0 0 0 0 0 0 1 0 0 0],0,0
399,SID_421,[0 0 0 0 0 0 0 1 0 0 0],0,0
400,SID_421,[0 0 0 0 0 0 0 1 0 0 0],0,0
401,SID_421,[1 0 0 1 0 0 0 0 0 0 0],0,0
402,SID_421,[0 0 0 0 0 0 0 0 0 0 1],0,0
403,SID_421,[1 0 0 1 0 0 0 0 0 0 0],0,0
404,SID_421,[0 0 0 1 0 0 0 0 0 0 0],0,0
405,SID_421,[0 0 0 1 0 0 0 0 0 0 0],0,0
406,SID_421,[0 0 0 1 0 0 0 0 0 0 1],0,0
406,SID_421,[0 0 0 1 0 0 0 0 0 0 1],0,0
407,SID_421,[0 0 0 0 0 0 0 1 0 0 0],1,0
414,SID_422,[0 0 0 1 0 0 0 0 0 0 0],0,0
415,SID_422,[0 0 0 0 1 0 0 0 0 0 0],0,0
416,SID_422,[0 0 0 1 0 0 0 0 0 0 0],0,0
417,SID_422,[0 0 0 0 1 0 0 0 0 0 0],0,0
418,SID_422,[0 0 0 0 1 0 0 0 0 0 0],0,0
419,SID_422,[0 0 0 0 1 0 0 0 0 0 0],0,0
424,SID_422,[0 0 0 0 0 1 0 0 0 0 0],0,0
428,SID_422,[0 0 0 0 0 0 0 1 0 0 0],0,0
431,SID_422,[0 0 0 1 1 0 0 0 0 0 0],0,0
431,SID_422,[0 0 0 1 1 0 0 0 0 0 0],0,0
432,SID_422,[0 0 0 0 0 0 0 1 0 0 0],0,0
435,SID_422,[0 0 0 0 0 0 0 1 0 0 0],0,0
440,SID_422,[0 0 0 0 0 0 0 1 0 0 0],0,0
442,SID_534,[0 0 0 0 0 0 0 1 0 0 0],1,0
446,SID_422,[0 0 0 0 0 0 0 1 0 0 0],0,0
447,SID_422,[0 0 0 0 0 0 0 1 0 0 0],0,0
448,SID_422,[0 0 0 0 0 0 0 1 0 0 0],0,0
449,SID_422,[0 0 0 0 0 0 0 1 0 0 0],0,0
452,SID_422,[0 0 0 0 0 0 0 1 0 0 0],0,0
455,SID_422,[0 0 0 0 0 0 0 1 0 0 0],0,0
456,SID_422,[0 0 0 0 0 0 0 1 0 0 0],1,1
458,SID_422,[0 0 0 0 0 0 0 1 0 0 0],0,0
460,SID_422,[0 0 0 0 0 0 0 1 0 0 0],0,0
461,SID_422,[0 0 0 0 0 0 0 1 0 0 0],0,0
464,SID_422,[0 0 0 0 0 0 0 1 0 0 0],1,1
467,SID_422,[0 0 0 0 0 0 0 1 0 0 0],1,1
476,SID_425,[0 0 0 0 0 0 0 1 0 0 0],0,0
477,SID_425,[0 0 0 1 1 0 0 0 0 0 0],0,0
477,SID_425,[0 0 0 1 1 0 0 0 0 0 0],0,0
478,SID_425,[0 0 0 0 1 0 0 0 0 0 0],1,0
479,SID_425,[0 0 0 0 1 0 0 0 0 0 0],0,0
480,SID_425,[0 0 0 0 0 0 0 1 0 0 0],1,0
481,SID_425,[0 0 0 0 0 0 0 1 0 0 0],0,0
482,SID_425,[0 0 0 0 0 1 0 0 0 0 0],0,0
484,SID_425,[0 0 0 0 0 1 0 0 0 0 0],0,0
486,SID_425,[0 0 0 0 0 0 0 1 0 0 0],0,0
489,SID_425,[0 0 0 0 0 0 0 1 0 0 0],0,0
490,SID_425,[0 0 0 0 0 0 0 1 0 0 0],0,0
491,SID_425,[0 0 0 0 0 0 0 1 0 0 0],0,0
492,SID_425,[0 0 0 0 0 0 0 1 0 0 0],1,0
500,SID_425,[0 0 0 0 0 0 0 0 0 1 0],0,0
501,SID_425,[0 0 0 0 0 0 0 1 0 0 0],0,0
503,SID_425,[0 0 0 0 0 0 0 1 0 0 0],1,0
506,SID_425,[0 0 0 0 0 0 0 1 0 0 0],0,0
507,SID_425,[0 0 0 0 0 0 0 1 0 0 0],0,0
510,SID_425,[0 0 0 0 0 0 1 0 0 0 0],0,0
511,SID_425,[0 0 0 0 0 0 1 0 0 0 0],1,0
515,SID_425,[0 0 0 0 0 0 0 1 0 0 0],0,0
516,SID_425,[0 0 0 0 0 0 0 1 0 0 0],0,0
517,SID_425,[0 0 0 0 0 0 0 1 0 0 0],0,0
519,SID_425,[0 0 0 0 0 0 0 1 0 0 0],0,0
520,SID_425,[0 0 0 0 0 0 0 1 0 0 0],0,0
521,SID_425,[0 0 0 0 0 0 0 1 0 0 0],0,0
522,SID_425,[0 0 0 0 0 0 0 1 0 0 0],0,0
524,SID_425,[0 0 0 0 0 0 0 1 0 0 0],1,0
525,SID_425,[0 0 0 0 0 0 0 1 0 0 0],0,1
527,SID_425,[0 0 0 0 0 0 0 1 0 0 0],0,1
528,SID_425,[0 0 0 0 0 0 0 0 0 1 0],1,1
530,SID_425,[0 0 0 0 0 0 0 0 0 1 0],1,1
532,SID_425,[0 0 0 1 0 0 0 0 0 0 0],0,0
535,SID_426,[0 0 0 1 1 0 0 0 0 0 0],0,0
535,SID_426,[0 0 0 1 1 0 0 0 0 0 0],0,0
536,SID_426,[0 0 0 0 1 0 0 0 0 0 0],0,0
539,SID_426,[0 0 0 0 1 0 0 0 0 0 0],0,0
540,SID_426,[0 0 0 0 1 0 0 0 0 0 0],0,0
542,SID_426,[0 0 0 0 1 0 0 0 0 0 0],0,0
544,SID_426,[0 0 0 1 0 0 0 0 0 0 0],0,0
545,SID_426,[0 0 0 1 1 0 0 0 0 0 0],0,0
545,SID_426,[0 0 0 1 1 0 0 0 0 0 0],0,0
546,SID_426,[0 0 0 1 1 0 0 0 0 0 0],0,0
546,SID_426,[0 0 0 1 1 0 0 0 0 0 0],0,0
547,SID_426,[0 0 0 1 1 0 0 0 0 0 0],0,0
547,SID_426,[0 0 0 1 1 0 0 0 0 0 0],0,0
549,SID_426,[0 0 0 0 1 0 0 0 0 0 0],0,0
550,SID_426,[0 0 0 0 1 0 0 0 0 0 0],0,0
551,SID_426,[0 0 0 1 1 0 0 0 0 0 0],0,0
551,SID_426,[0 0 0 1 1 0 0 0 0 0 0],0,0
552,SID_426,[0 0 0 1 1 0 0 0 0 0 0],0,0
552,SID_426,[0 0 0 1 1 0 0 0 0 0 0],0,0
559,SID_426,[0 0 0 0 0 0 0 1 0 0 0],0,0
566,SID_426,[0 0 0 0 0 0 0 1 0 0 0],0,0
573,SID_426,[0 0 0 0 0 0 0 0 0 1 0],0,0
575,SID_426,[0 0 0 0 0 0 0 1 0 0 0],0,0
577,SID_426,[0 0 0 0 0 0 0 1 0 0 0],0,0
578,SID_426,[0 0 0 0 0 0 0 1 0 0 0],0,0
580,SID_426,[0 0 0 1 0 0 0 0 0 0 0],0,0
591,SID_429,[0 0 0 1 0 0 0 0 0 0 0],1,0
593,SID_429,[0 0 0 1 1 0 0 0 0 0 0],0,0
593,SID_429,[0 0 0 1 1 0 0 0 0 0 0],0,0
594,SID_429,[0 0 0 1 1 0 0 0 0 0 0],0,0
594,SID_429,[0 0 0 1 1 0 0 0 0 0 0],0,0
595,SID_429,[0 0 0 0 1 0 0 0 0 0 0],0,0
596,SID_429,[0 0 0 0 0 1 0 0 0 0 0],0,0
597,SID_429,[0 0 0 0 0 1 0 0 0 0 0],0,0
598,SID_429,[0 0 0 0 0 0 0 1 0 0 0],0,0
610,SID_429,[0 0 0 0 0 0 0 1 0 0 0],0,0
614,SID_429,[0 0 0 0 0 0 0 0 1 0 0],1,0
615,SID_544,[0 0 0 0 0 0 0 1 0 0 0],0,0
616,SID_544,[0 0 0 0 0 0 0 1 0 0 0],0,0
617,SID_554,[0 0 0 0 0 0 0 1 0 0 0],0,0
619,SID_429,[0 0 0 0 0 0 0 1 0 0 0],0,0
620,SID_583,[0 0 0 0 0 0 0 1 0 0 0],0,0
621,SID_429,[0 0 0 0 0 0 0 1 0 0 0],0,0
624,SID_429,[0 0 0 0 0 0 0 1 0 0 0],0,0
625,SID_429,[0 0 0 0 0 0 0 1 0 0 0],0,0
626,SID_429,[0 0 0 0 0 0 0 1 0 0 0],0,0
629,SID_429,[0 0 0 0 0 0 0 0 0 1 0],0,0
630,SID_429,[0 0 0 0 0 0 0 0 0 1 0],0,0
632,SID_429,[0 0 0 0 0 0 0 1 0 0 0],0,0
635,SID_408,[0 0 0 0 0 0 0 0 0 1 0],1,1
638,SID_429,[0 0 0 0 0 0 0 0 1 0 0],0,0
642,SID_429,[0 0 0 0 0 0 0 0 1 0 0],0,0
644,SID_429,[0 0 0 0 0 0 0 1 0 0 0],0,0
646,SID_429,[0 0 0 0 0 0 0 1 0 0 0],0,0
647,SID_429,[0 0 0 0 0 0 0 1 0 0 0],0,0
649,SID_429,[0 0 0 0 0 0 0 1 0 0 0],0,0
650,SID_429,[0 0 0 0 0 0 1 0 0 0 0],0,0
653,SID_429,[0 0 0 0 0 0 1 0 0 0 0],0,0
654,SID_429,[0 0 0 0 0 0 1 0 0 0 0],0,0
657,SID_429,[0 0 0 0 0 0 1 0 0 0 0],0,0
658,SID_429,[0 0 0 0 0 0 0 1 0 0 0],0,0
661,SID_429,[0 0 0 0 0 0 1 0 0 0 0],0,0
664,SID_476,[0 0 0 0 0 0 0 0 1 0 0],1,0
665,SID_429,[0 0 0 0 0 0 0 0 0 1 0],0,0
668,SID_429,[0 0 0 0 0 0 1 0 0 0 0],0,0
671,SID_429,[0 0 0 0 0 0 0 1 0 0 0],0,0
672,SID_429,[0 0 0 0 0 0 0 1 0 0 0],0,0
674,SID_429,[0 0 0 0 0 0 0 1 0 0 0],0,0
675,SID_429,[0 0 0 0 0 0 0 1 0 0 0],0,0
676,SID_476,[0 0 0 0 0 0 0 1 1 0 0],0,0
676,SID_476,[0 0 0 0 0 0 0 1 1 0 0],0,0
679,SID_429,[0 0 0 0 0 0 0 0 0 1 0],0,0
687,SID_429,[0 0 0 0 0 0 0 1 0 0 0],0,1
688,SID_429,[0 0 0 0 0 0 1 0 0 0 0],1,1
689,SID_429,[0 0 0 0 0 0 0 1 0 0 0],0,0
701,SID_430,[0 0 0 1 1 0 0 0 0 0 0],1,0
701,SID_430,[0 0 0 1 1 0 0 0 0 0 0],1,0
702,SID_430,[0 0 0 0 1 0 0 0 0 0 0],0,0
704,SID_430,[0 0 0 1 1 0 0 0 0 0 0],0,0
704,SID_430,[0 0 0 1 1 0 0 0 0 0 0],0,0
705,SID_430,[0 0 0 0 0 1 0 0 0 0 0],0,0
706,SID_430,[0 0 0 0 1 0 0 0 0 0 0],0,0
707,SID_430,[0 0 0 0 0 1 0 0 0 0 0],0,0
708,SID_430,[0 0 0 0 0 0 0 1 0 0 0],0,0
710,SID_430,[0 0 0 0 0 0 0 1 0 0 0],0,0
711,SID_430,[0 0 0 0 0 0 0 1 0 0 0],0,0
713,SID_430,[0 0 0 0 0 0 0 1 0 0 0],1,0
714,SID_430,[0 0 0 0 0 0 0 1 0 0 0],0,0
716,SID_430,[0 0 0 0 0 0 0 1 0 0 0],1,0
718,SID_406,[0 0 0 0 0 0 0 1 0 0 0],0,0
720,SID_406,[0 0 0 0 0 0 0 1 0 0 0],1,0
721,SID_406,[0 0 0 0 0 0 0 1 0 0 0],0,0
722,SID_406,[0 0 0 0 0 0 0 1 0 0 0],0,0
723,SID_430,[0 0 0 0 0 0 0 1 0 0 0],0,0
724,SID_408,[0 0 0 0 0 0 0 1 0 0 0],0,0
725,SID_430,[0 0 0 0 0 0 0 1 0 0 0],0,0
726,SID_430,[0 0 0 0 0 0 0 1 0 0 0],0,0
727,SID_430,[0 0 0 0 0 0 0 1 0 0 0],0,0
728,SID_430,[0 0 0 0 0 0 0 1 0 0 0],0,0
729,SID_430,[0 0 0 0 0 0 0 1 0 0 0],0,0
730,SID_430,[0 0 0 0 0 0 0 1 0 0 0],0,0
732,SID_430,[0 0 0 0 0 0 0 1 0 0 0],0,0
734,SID_430,[0 0 0 0 0 0 0 1 0 0 0],1,0
735,SID_430,[0 0 0 0 0 0 0 1 0 0 0],0,0
736,SID_430,[0 0 0 0 0 0 0 1 0 0 0],0,0
737,SID_430,[0 0 0 0 0 0 0 0 0 1 0],1,1
748,SID_431,[0 0 0 1 0 0 0 0 0 0 0],0,0
749,SID_431,[0 0 0 1 0 0 0 0 0 0 0],0,0
750,SID_431,[0 0 0 1 0 0 0 0 0 0 0],0,0
751,SID_431,[0 0 0 1 1 0 0 0 0 0 0],0,0
751,SID_431,[0 0 0 1 1 0 0 0 0 0 0],0,0
752,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
753,SID_431,[0 0 0 0 1 0 0 0 0 0 0],0,0
755,SID_431,[0 0 0 0 0 1 0 0 0 0 0],0,0
756,SID_431,[0 0 0 0 0 1 0 0 0 0 0],0,0
757,SID_411,[0 0 0 0 0 0 0 1 0 0 0],0,1
759,SID_431,[0 0 0 0 0 0 0 1 0 0 0],1,0
761,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
763,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
766,SID_414,[0 0 0 0 0 0 0 1 0 0 0],0,0
767,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
770,SID_431,[0 0 0 0 0 0 0 1 0 0 0],1,0
772,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
773,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
774,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
775,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
776,SID_431,[0 0 0 0 0 0 0 1 0 0 0],1,1
778,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
779,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
780,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
781,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
782,SID_431,[0 0 0 0 0 0 0 1 0 0 0],1,0
784,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
789,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
790,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
791,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
795,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
797,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
798,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
799,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
800,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
802,SID_431,[0 0 0 0 0 0 0 1 0 1 0],0,0
802,SID_431,[0 0 0 0 0 0 0 1 0 1 0],0,0
805,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
806,SID_431,[0 0 0 0 0 0 0 1 0 0 0],0,0
809,SID_435,[0 0 0 1 0 0 0 0 0 0 0],1,0
810,SID_435,[0 0 0 0 1 0 0 0 0 0 0],0,0
811,SID_435,[0 0 0 0 0 0 0 1 0 0 0],1,0
812,SID_435,[0 0 0 0 0 0 0 1 0 0 0],0,0
813,SID_435,[0 0 0 0 0 0 0 1 0 0 0],0,0
814,SID_435,[0 0 0 0 0 0 0 1 0 1 0],0,0
814,SID_435,[0 0 0 0 0 0 0 1 0 1 0],0,0
816,SID_435,[0 0 0 0 0 0 0 1 0 0 0],0,0
817,SID_435,[0 0 0 0 0 0 0 0 1 0 0],1,0
818,SID_435,[0 0 0 0 0 0 0 1 0 0 0],1,0
820,SID_435,[0 0 0 0 0 0 0 0 0 1 0],0,0
821,SID_435,[0 0 0 0 0 0 1 0 0 0 0],0,0
822,SID_435,[0 0 0 0 0 0 1 0 0 0 0],0,0
823,SID_435,[0 0 0 0 0 0 0 1 0 0 0],0,0
827,SID_435,[0 0 0 0 0 0 0 1 0 0 0],0,0
835,SID_435,[0 0 0 0 0 0 0 1 0 0 0],0,0
836,SID_435,[0 0 0 0 0 0 1 0 0 0 0],0,0
