sentence_id,statement_id,sentence,prediction
4880,SID_260,"We also developed a contractual clause in our purchase orders which provides that by accepting the purchase order, the supplier agrees to comply with our Code of Conduct, violations of which may be grounds for the nullification of the purchase order",c2 (supply chains)
8788,SID_301,"If we discover any forced labour or child labour in our business and supply chains, we take the following measures to remediate such forced labour or child labour",c2 (supply chains)
154,SID_201,New employees in key roles will receive training through in person or virtual sessions and through our training video project,c2 (operations)
159,SID_201,Assessing our effectiveness We are committed to continually evaluating and enhancing our key performance indicators to gauge the effectiveness of the implementation of the objectives outlined in our Sustainability Reports as well as to continuously refine our human rights approach,c3 (risk description)
160,SID_201,"The efficiency of each Reporting Entity's industry-specific due diligence process is regularly assessed to ensure its relevance and alignment with our business operations, regulatory changes, industry norms, and best practices",c3 (risk description)
163,SID_201,"Notably, no issues requiring review were identified in fiscal 2023, and there were no incidents of forced labour or child labour associated with our suppliers through our monitoring processes",c3 (risk description)
164,SID_201,"In evaluating the efficacy of our corporate social responsibility risk management approach, we solicit feedback from relevant internal and external stakeholders",c3 (risk description)
1008,SID_209,"Introduction This report (the Report"") is produced by TRX Gold Corporation (the Corporation or TRX Gold) for the financial year starting September 1, 2022 and ending August 31, 2023 (the Reporting Period) and sets out the steps taken by TRX Gold and its subsidiaries, TRX Gold Tanzania Limited (TRX TZ), Tancan Mining Company Limited and Buckreef Gold Company Limited, to prevent and reduce the risk that forced labour or child labour is used at any step during the production of goods in Tanzania or elsewhere, or for goods imported into Canada by the Corporation",approval
1010,SID_209,"Structure, activities and supply chains TRX Gold is a Canadian gold mining company focused on operating, developing and exploring its interest in the Buckreef Gold Project (Buckreef) in the United Republic of Tanzania (Tanzania"")",signature
1012,SID_209,"Buckreef is a joint venture partnership that is 55% owned by TRX TZ, a wholly owned subsidiary of the Corporation, and 45% owned by STAMICO, an enterprise wholly-owned by the government of Tanzania",approval
1013,SID_209,"The primary product that is mined, milled and produced at Buckreef is gold dor, which is sold to customers in Europe and the United States of America",signature
1014,SID_209,"During the Reporting Period, the mine produced 20,759 ounces of gold",signature
1033,SID_209,The policy details the standards of behaviour expected from everyone to whom it applies in their daily activities and in dealings with others,c2 (operations)
1044,SID_209,Training Employees of TRX Gold receive regular tailored training on ethical topics and our policies,c2 (operations)
1052,SID_209,"To date, the due diligence conducted by TRX Gold has not identified a material risk within our supply chain regarding the presence of forced labour or child labour",c2 (structure)
1053,SID_209,"Assessing Effectiveness TRX Gold has in place a number of measures to identify, prevent and reduce the risk that forced labour or child labour is used in our activities and supply chain",c3 (risk description)
1055,SID_209,"Remediation Measures Our Code of Ethics and Whistleblower Policy and Procedures offer a reporting mechanism for our employees and suppliers to report ethical or legal violations, among other concerns",c2 (operations)
151,SID_201,"Remediation actions for the loss of income to the most vulnerable families that results from any measure taken to eliminate forced labour and child labour from our operations and supply chains Given that we have not taken any remediation during the Reporting Period, we consequently did not perform any remediation actions for the loss of income to the most vulnerable families",c2 (supply chains)
8795,SID_301,LOSS OF INCOME REMEDIATION MEASURES JPD does not currently have measures in place to remediate any forced or child labour in our supply chain,c2 (supply chains)
1217,SID_213,"Introduction This report (the Report), prepared pursuant to the Fighting Against Forced Labour and Child Labour in Supply Chains Act (Canada)(the Act), is prepared by and made on behalf of PrairieSky Royalty Ltd and its wholly-owned subsidiaries Tenax Energy Inc., Hayden Resources Ltd.1 and NV Resources Corporation Ltd (collectively, PrairieSky or the Company or our or we)",approval
1221,SID_213,"Measures to Prevent and Reduce the Risks of Forced Labour and/or Child Labour in PrairieSkys Supply Chain In the previous financial year, PrairieSky took the following measures to prevent and reduce the risk of forced labour or child labour in its activities and supply chain",c2 (operations)
1222,SID_213,"reviewed and updated the Business Code of Conduct, the Human Rights Policy, and the Supplier Code of Conduct to include language relating to the implementation and development of anti-forced labour and anti-child labour principles",c2 (operations)
1223,SID_213,expanded our employee and contractor training to include guidance with respect to PrairieSkys expectations and obligations relating to forced labour and child labour legislation and outlined the procedures available to all employees and contractors to report concerns arising out of human rights impacts,c2 (operations)
1224,SID_213,conducted a preliminary initial internal assessment of the risks of forced labour and/or child labour in our supply chain generally; and,c2 (operations)
1225,SID_213,continued process to obtain sign off from all of PrairieSkys suppliers on the Supplier Code of Conduct,c2 (operations)
1226,SID_213,"Structure, Activities and Supply Chain Structure PrairieSky is incorporated under the Alberta Business Corporations Act (the ABCA)",approval
1227,SID_213,"The Company was incorporated under the ABCA under the name ""1786071 Alberta Ltd."" on November 27, 2013",approval
1229,SID_213,"On April 11, 2014, the Company changed its name to ""PrairieSky Royalty Ltd."" Prior to the Companys initial public offering on May 29, 2014, the Company was a wholly-owned subsidiary of Encana",approval
1230,SID_213,"Effective January 1, 2024, Tenax Energy Inc amalgamated with its wholly-owned subsidiary, Hayden Resources Ltd, and continued under the name Tenax Energy Inc",approval
1232,SID_213,"Activities PrairieSkys headquarters, and only business location, are in Calgary, Alberta",approval
1233,SID_213,The Company carries on business exclusively in Canada and owns assets in Western Canada specifically,signature
1234,SID_213,PrairieSky currently has one of the largest independently owned portfolios of fee simple mineral title and oil and gas royalty interests in Canada,signature
1235,SID_213,"PrairieSky is focused on encouraging third parties to actively develop royalty properties while strategically seeking additional crude oil and natural gas royalty assets that provide the Company with medium-term to long-term value enhancement potential, including the acquisition of Crown interest lands for purposes of complementing the Company's fee title land base and pursuing prospective farmout strategies",signature
1236,SID_213,The Company does not conduct any drilling activity and is not responsible for making any capital expenditures with respect to its royalty properties,signature
1237,SID_213,The Company does not have an operators license and does not own any oil and natural gas well bores or other related infrastructure,signature
1238,SID_213,"The Company receives royalty revenue based on the production performance of wells, with the calculation of such royalty revenues payable based, in part, on the market price of oil and/or natural gas and allowances, if any, for certain deductions",signature
1240,SID_213,"Sale of Goods Within Canada Because PrairieSky is a pure-play royalty company with all of its operations in Canada, and given the nature of PrairieSkys business generally, its supply chain is limited",signature
1241,SID_213,"PrairieSky does not directly conduct operations to explore for, develop or produce petroleum or natural gas",signature
1242,SID_213,It does not own or operate any oil and gas wells and as a result has no capital expenditures or operating costs related to oil and gas development,signature
1243,SID_213,"Through certain contractual arrangements with third parties, the Company may, at its election, choose to receive its royalty percentage share of production from its royalty properties as a physical or ""in-kind"" delivery of hydrocarbons",signature
1244,SID_213,"Currently, the Company takes a limited amount of crude oil royalty volumes in-kind. It is through this limited activity that PrairieSky sells goods exclusively in Canada to third party commodity marketing firms under spot contracts",signature
1245,SID_213,These sales constituted approximately 10% of PrairieSkys total revenue for 2023,signature
1246,SID_213,"In 2023, PrairieSky sold certain select volumes of hydrocarbons to thirteen separate marketing entities, twelve of which are incorporated in Canada (one marketing organization was American and incorporated under Minnesota law with a Canadian subsidiary headquartered in Calgary, Alberta)",signature
1247,SID_213,Purchase of Services Within Canada PrairieSky directly engages a number of professional services provided almost exclusively by Canadian entities,signature
1248,SID_213,"These services include the provision of IT support, audit, tax and reserve engineering services, legal services, and other administrative and office services",signature
1249,SID_213,These services are provided exclusively within Canada,signature
1251,SID_213,These in-kind sales transactions as well as office rent and the professional services described above constitute the vast majority of PrairieSkys activities as contemplated under the Act,signature
1253,SID_213,"The Company supports the Ten Principles of the United Nations Global Compact with respect to human rights, labour, environment and anti-corruption and is a signatory thereto",c2 (operations)
1254,SID_213,"The Company summarizes the sustainability of its business model, reports annually on its corporate social responsibility performance, and discloses its environment, social and governance (ESG) practices through the publication of its 2024 Sustainability Report for the year ended December 31, 2023, which is available on its website at Our Approach | PrairieSky Royalty Ltd PrairieSkys Board of Directors has oversight of ESG issues as the Company is committed to the highest standards of corporate governance",c2 (operations)
1255,SID_213,"Human rights considerations play a prominent role in PrairieSkys ESG reporting, and the Company and its Board are dedicated to continuous improvement efforts in the areas of ESG generally and human rights specifically",c2 (operations)
1256,SID_213,"Business Code of Conduct PrairieSkys Business Code of Conduct (found on our website here: Governance | PrairieSky Royalty Ltd.) was developed in alignment with the principles from the United Nations Global Compact, the Universal Declaration of Human Rights, the United Nations Guiding Principles on Business and Human Rights, and the International Labor Organizations Declaration of Fundamental Principles and Rights at Work",c2 (operations)
1257,SID_213,"The Business Code of Conduct expressly states that PrairieSky will comply with all applicable employment, labour and human rights law and regulations. It further states: PrairieSky will endeavor to conduct business withthird parties who share our values and business principles. It refers to PrairieSkys Supplier Code of Conduct and the Human Rights Policy specifically and the roles these policies play in PrairieSkys implementation and development of anti-forced labour and/or anti-child labour principles",c2 (operations)
1258,SID_213,Human Rights Policy PrairieSkys Human Rights Policy (found on our website here: Governance | PrairieSky Royalty Ltd.) articulates PrairieSkys commitment to ensuring that it is not complicit in human rights abuses and that the avoidance of infringing on the rights of others and engaging in activities that directly or indirectly violate human rights will not be tolerated,c2 (operations)
1259,SID_213,"Specifically, the Human Rights Policy addresses child labour as well as forced labour, modern slavery, and human trafficking",c2 (operations)
1260,SID_213,The Human Rights Policy governs the scope of PrairieSkys human rights due diligence and recognizes the need to focus on PrairieSkys own business operations as well as its material third party business relationships,c2 (operations)
1261,SID_213,"Supplier Code of Conduct PrairieSkys Supplier Code of Conduct (found on our website here: Governance | PrairieSky Royalty Ltd.) aligns with the principles from the United Nations Global Compact, the Universal Declaration of Human Rights, the United Nations Guiding Principles on Business and Human Rights, and the International Labor Organizations Declaration of Fundamental Principles and Rights at Work",c2 (operations)
1262,SID_213,"The Supplier Code of Conduct mandates that all suppliers to PrairieSky must not, directly or indirectly, use child labour, forced labour or enslaved labour under any circumstances, whether in the form of compulsory or trafficked labour, indentured labour, bonded labour or other forms",c2 (operations)
1263,SID_213,"The Supplier Code of Conduct defines child labour and forced labour as follows, based on the language of the Act: child labour means labour or services provided or offered to be provided by persons under the age of 18 years and that (a) are provided or offered to be provided in Canada under circumstances that are contrary to the laws applicable in Canada; (b) are provided or offered to be provided under circumstances that are mentally, physically, socially or morally dangerous to them; (c) interfere with their schooling by depriving them of the opportunity to attend school, obliging them to leave school prematurely or requiring them to attempt to combine school attendance with excessively long and heavy work; or (d) constitute the worst forms of child labour as defined in article 3 of the Worst Forms of Child Labour Convention, 1999, adopted at Geneva on June 17, 1999",c2 (operations)
1265,SID_213,"The Supplier Code of Conduct prohibits mental and physical coercion, human trafficking, and all other forms of modern slavery",c2 (operations)
1266,SID_213,Suppliers are obligated to employ personnel who meet the applicable minimum legal age requirement to work in the country or countries in which they operate,c2 (operations)
1267,SID_213,Suppliers must also cooperate with PrairieSky in the Companys preparation of regulatory disclosures in respect of forced labour in supply chains,c2 (operations)
13205,SID_369,"If forced labour or child labour in its supply chains is discovered, Lamb Ford commits to taking action by reporting the information to appropriate authorities",c2 (supply chains)
1269,SID_213,"PrairieSky also reserves the right to assess and monitor a suppliers practices with respect to the Supplier Code of Conduct, including through self-assessment questionnaires",c2 (operations)
1270,SID_213,Suppliers must also be able to demonstrate compliance under the Code upon request,c2 (operations)
1271,SID_213,"Commencing in 2021, PrairieSky began to implement a process whereby it provided all of its existing suppliers with the Supplier Code of Conduct and requested that each supplier review the policy and acknowledge that they agreed with its terms and conditions",c2 (operations)
1272,SID_213,PrairieSky intends to,c2 (operations)
1273,SID_213,continue this proactive step with any new suppliers that it engages with as a means of mitigating risks relating to the existence of forced labour or child labour practices within its supply chain,c2 (operations)
1274,SID_213,Training of Employees and Contractors Employee and contractor mandatory training occurs annually in relation to PrairieSkys Business Code of Conduct,c2 (operations)
1275,SID_213,"As a part of the mandatory training, PrairieSky includes guidance to its employees and contractors with respect to PrairieSkys expectations and obligations relating to forced labour and child labour legislation and outlines the procedures available to all employees and contractors to report concerns arising out of human rights impacts",c2 (operations)
1276,SID_213,"Identifying, Assessing and Remediating Risks PrairieSky has started the process of identifying risks through the process of filing this Report under the Act",c2 (operations)
1278,SID_213,"To date, PrairieSky has not identified any part of its activities and supply chain that carries a risk of forced labour or child labour being used",c2 (structure)
2143,SID_223,BioNorth is engaged in the business of producing clean energy,signature
2144,SID_223,"The companys a 40-mega-watt biomass power generation plant utilizes forest waste to produce clean energy, employing 30 full-time employees",signature
2145,SID_223,The primary forest waste utilized at its facility includes: Bush Grind: Leftover materials after trees have been harvested,signature
2146,SID_223,Mill Residuals: Unusable pieces leftover after milling,signature
2147,SID_223,Bio Logs: Utilized when other fuel sources have been exhausted,signature
2148,SID_223,"Structure, Operations and Supply Chain BioNorth Holdings Limited Partnership is a joint venture under a limited partnership agreement among the following",signature
2149,SID_223,Nakazdli Development Corporation,signature
2150,SID_223,Unlimited Liability Company,signature
2151,SID_223,Arrow Northern Services Inc,signature
2152,SID_223,BioNorth Services Ltd,signature
2155,SID_223,These include the following,c2 (operations)
2165,SID_223,The process of identifying risks is ongoing and BioNorth considers the risks of forced labour or child labour to be low in its own operations and supply chains in the jurisdiction in which it operates,c2 (structure)
2168,SID_223,Remediation Measures BioNorth has not identified risks related to forced labour or child labour in its supply chains and within its own operations,c2 (structure)
2714,SID_227,Lion Electric is committed to providing remediation for any confirmed instances of forced or child labour in its supply chain should such an event arise,c2 (supply chains)
2170,SID_223,"Steps to Prevent and Reduce Risks of Forced Labour and Child Labour Over the course of the financial year ended March 31, 2024, BioNorth has conducted its own internal and external assessments of the risks of forced labour and child labour and concluded that the risk is low",c2 (structure)
2171,SID_223,"Remediation of Loss of Income As BioNorth has not yet identified any instances of forced labour or child labour in its activities or supply chains, measures to remediate the loss of income to the most vulnerable families that results from measures taken to eliminate the use of forced labour or child labour, have not been required",c2 (structure)
2174,SID_223,"In addition to our new hire orientation training on the contents of BioNorths policy manual, our Employment Age and Young-Worker Safety Policy contains additional responsibilities for employees under the age of 25",c2 (operations)
2179,SID_223,Report all real and potential workplace hazards and/or unsafe conditions,c2 (operations)
2182,SID_223,"BioNorths has developed a process for employees to report matters relating to bullying, harassment and violence",c2 (operations)
2184,SID_223,Assessing Our Effectiveness The effectiveness of BioNorths policies and processes will be periodically evaluated,c3 (risk description)
2185,SID_223,"Consultation & Governance Process In preparing this report, BioNorth engaged with its joint-venture partners and departments responsible for establishing and monitoring its policies and procedures",c4 (risk mitigation)
2202,SID_224,"Rusticas Group Structure Rustica Foods has a rich professional history in food production, transportation and warehousing",signature
2224,SID_224,Risk Assessment Internal Assessment: Annual review of existing policies and procedures related to labor practices,c2 (operations)
2224,SID_224,Risk Assessment Internal Assessment: Annual review of existing policies and procedures related to labor practices,c3 (risk description)
2228,SID_224,Agency recruiters,c1 (reporting entity)
2232,SID_224,Training with the procurement department to ensure proper documentation is completed prior to approving the supplier,c2 (operations)
2233,SID_224,Production,c2 (operations)
2234,SID_224,"Transparency in the production department is presented as to whether the conduct of employees is in adherence to the policies (Code of Conduct, Code of Ethics and Human Resource policy)",c2 (operations)
2235,SID_224,"Evaluations are done on a yearly basis to ensure employees are treated fairly, and complaints are managed appropriately",c2 (operations)
8627,SID_298,Remediation: The Reporting Entities will endeavor to work with direct suppliers to address any identied risks,c2 (supply chains)
2243,SID_224,"Annual and ongoing training in the review of company policies, including awareness campaigns",c3 (risk description)
2244,SID_224,Key Performance Indicators (KPIs) Quality Department,c3 (risk description)
2245,SID_224,The Quality Department has measures in place with a monthly KPI containing a score card to ensure the supplier policy is effective,c3 (risk description)
2247,SID_224,Regular meetings with staff and their supervisors,c3 (risk description)
2248,SID_224,Employee engagement surveys,c3 (risk description)
2651,SID_227,"implemented a Supplier Policy, which includes, among others, requirements aimed at monitoring and preventing forced labour or child labour risks in our supply chains",c2 (operations)
2652,SID_227,"updated our model supply agreement, which now requires our new suppliers, or those entering into new commitments with us, to adhere to our Supplier Policy",c2 (operations)
2653,SID_227,"conducted due diligence on certain potential suppliers before entering into contracts, taking into account various criteria including forced labour or child labour risks",c2 (operations)
2655,SID_227,"2023 Forced Labor Report Structure, Activities and Supply Chains The Company is incorporated under the Business Corporations Act (Quebec)",approval
2658,SID_227,"Lion Electrics business focuses on the design, development, manufacturing, and distribution of all-electric medium and heavy- duty urban vehicles (EV)",signature
2659,SID_227,"Each Lion Electric vehicle is purpose-built for electric and entirely designed and assembled in-house, with its own chassis, truck cabin or bus body, proprietary battery technology with modular energy capacity and Lion software integration",signature
2660,SID_227,"For certain specialized truck applications, Lion Electric has also established partnerships and other relationships with third-party suppliers to enable it to offer to its clients a variety of vehicle configurations, upfit equipment options and applications which range from classic boxes for box trucks to other specialized applications such as all-electric ambulances and utility trucks",signature
2661,SID_227,"Since 2023, Lion Electric manufactures its own battery modules and packs that integrate battery cells sourced from third-party suppliers",signature
2662,SID_227,"Lion Electric also complements its product offering with various services available on site at Lion Electrics Experience Centers including sales support, full-service training, charging infrastructure assistance and maintenance support",signature
2664,SID_227,"Lion Electrics products are available to purchase in Canada and in the United States and are distributed by truck and rail, either directly to Lion Electrics customers or to the third-party upfitters Lion Electric partners with",signature
2665,SID_227,"Lion Electric has adopted a sales model that is generally based on direct-to-customer sales tailored for EVs, thereby generally avoiding reliance on third-party dealerships whenever possible",signature
2666,SID_227,Lion Electrics products are manufactured in Canada and the United States,signature
2667,SID_227,"The Company has a vehicle manufacturing facility located in Saint-Jerome, Quebec, where a majority of the vehicles sold by the Company are produced, and a manufacturing facility located in Joliet, Illinois to address the increasing demand for Made in America zero-emission vehicles",signature
2668,SID_227,"Lion Electric also has a battery plant and Innovation Center situated in Mirabel, Quebec, which is currently being used for various purposes such as a testing and certification center for vehicles and batteries, a pre-delivery in- spection site, a showroom and delivery center, and as warehousing space, in order to leverage space available and optimize operational efficiency",signature
2669,SID_227,"Finally, Lion Electric has additional facilities across Canada and the United States which mainly serve as Lion Electrics Experience Centers strategically located in key markets",signature
2670,SID_227,"Lion Electrics supply chain consists of suppliers provi ding battery cells, battery packs, modules, vehicle parts and components, and raw materials such as aluminum, steel, composite, non-ferrous metals (such as copper) as well as other materials and minerals used to manu- facture lithium-ion batteries and certain other parts and components of Lion Electrics vehicles",signature
2671,SID_227,"In certain cases, Lion Electric has entered into long-term contractual arrangements with suppliers with respect to the supply of certain key components of its vehicles, including, lithium-ion batteries and cells",signature
2672,SID_227,The Company strives to obtain components from multiple sources whenever possible,c1 (reporting entity)
2673,SID_227,"However, some of the components used in Lion Electrics vehicles, including key battery systems components, are purchased from a single source sup- plier or limited source suppliers",signature
2674,SID_227,"Lion Electric currently does business with approximately 1,600 direct suppliers located in 17 countries",signature
2675,SID_227,The majority of Lion Electrics suppliers are located in Canada and the United States,c1 (reporting entity)
2681,SID_227,"In support of such commitment, Lion Electric has put in place several codes and policies that address international human rights standards, including the risk of forced and child labour in its supply chain",c2 (operations)
2682,SID_227,These codes and policies are reviewed annually by theCompany,c3 (risk description)
2683,SID_227,Supplier Policy The Supplier Policy of the Company (the Supplier Policy) sets standards of ethical conduct which Lion Electric requires of its suppliers when they do business with or on behalf of Lion Electric,c2 (operations)
2684,SID_227,"The Supplier Policy details our expectations of suppliers in respect of hu- man rights, labour, employment practices, integrity and business ethics, and more",c2 (operations)
2685,SID_227,"Notably, the Supplier Policy specifically includes provisions prohibiting child labour and forced labour, and requires our suppliers to comply with specific hiring and employment practices that are aimed at promoting fair and ethical work conditions",c2 (operations)
2686,SID_227,"The Supplier Policy further requires suppliers to identify risks and actual adverse human rights impacts related to their activities and take appropriate steps to reduce such risks and remedy any impact directly caused, or contributed to, by their activities or through business relationships",c2 (operations)
2687,SID_227,"While we require our suppliers to implement the Supplier Policys requirements in a manner that is both appro- priate and proportional to the nature and scale of their business, as well as the goods and services they provide, we expect them to reflect these requirements in their own supply chains and go beyond legal compliance to advance in social and environmental responsibility and business ethics",c2 (operations)
2688,SID_227,"We require our new suppliers, or those or those en- tering into new commitments with us, to contractually adhere to, and comply with, the Supplier Policy, either Governance, Policies and Due Diligence Processes through a standalone certification or through our model supply agreement",c2 (operations)
2689,SID_227,"Our model supply agreement further includes a right for Lion Electric to perform audits, which may include requests for information, site visits, employee interviews and review of records",c2 (operations)
2690,SID_227,"The Supplier Policy includes a mechanism for anyone who believes that a supplier has engaged in illegal, unethical or otherwise improper conduct, or conducted any other activity in violation of the Supplier Policy to report such conduct using LionElectrics Whistleblower Line",c2 (operations)
2691,SID_227,"Lion Electric strongly encourages anyone witnessing such practices to speak up and demands that suppliers prohibit any retaliation against any person for reporting, in good faith, contraventions of the Supplier Policy or for filing a complaint or testifying, assisting, or partici- pating in any manner in any investigation, proceeding, or hearing conducted by a government enforcement agency",c2 (operations)
13058,SID_366,"As a result, Magna took a number of remediatory steps, including",c2 (supply chains)
4636,SID_255,"Review and Response E3 is evaluating how to address concerns raised through these channels, including taking necessary actions to resolve identified issues",c3 (risk description)
2697,SID_227,"Additional Due Diligence Measures To effectively manage risks associated with its supply chain, including risks related to forced labour and child labour, Lion Electric employed the following measures",c2 (operations)
2698,SID_227,"Completing due diligence on key potential suppliers based on publicly available information and due diligence requests, including manufacturing plans and country of origin information",c2 (operations)
2699,SID_227,"Negotiating strong contractual provisions with our suppliers, including adherence to the Supplier Policy and audit rights (allowing us to perform, as needed, independent or unannounced audits); and",c2 (operations)
2700,SID_227,Performing site visits of certain of our new and current suppliers which allow individuals conducting these visits to report on business practices and quality standards,c2 (operations)
2711,SID_227,"To assess the effectiveness of actions related to ensuring that forced labour and child labour are not being used in our business and supply chains, we commit to",c3 (risk description)
2712,SID_227,monitor and annually review compliance with theAct and report the results internally to the LionElectric management team; and,c3 (risk description)
2713,SID_227,regularly review the content of the Code and Supplier Policy to ensure it is current and fit forpurpose,c3 (risk description)
1057,SID_209,"To date, TRX Gold has not identified any material risk of the presence of forced labour or child labour used in its activities or supply chain and therefore has not",c2 (structure)
2715,SID_227,"During the Reporting Period, Lion Electric did not identify, nor was it alerted to, any instances of forced labour or child labour in its supply chain",c3 (risk description)
149,SID_201,"Remedial Action Taken during the Reporting Period During the Reporting Period, Burnbrae Farms did not perform any remediation actions with respect to forced labour and child labour",c2 (supply chains)
2717,SID_227,"Although the Company does not currently provide training to employees on forced labour or child labour, every employee and director of Lion Electric is required to sign a certification that they have read and clearly understood the Code",c2 (operations)
2718,SID_227,All employees are further re- quired to review and confirm compliance with the Code at least once per year,c2 (operations)
2719,SID_227,"Additionally, we intend to offer targeted training sessions addressing forced labour and child labour to relevant employees in the future",c2 (operations)
150,SID_201,"Our remediation processes Given that no remediation measures were taken during the Reporting Period, we did not adopt any remediation process to deal with possible occurrences of forced labour and child labour in our operations and/or supply chains",c2 (supply chains)
2725,SID_227,"Despite our efforts to take actions to ensure our supply chain is free of any forced labour or child labour, there may nonetheless remain a risk of forced labour or child labour within our global supply chain, specifically when it comes to indirect suppliers where Lion Electric has little control or visibility",c2 (structure)
2727,SID_227,"During the Reporting Period, we have identified certain countries in which some of our suppliers are located that are considered to be at greater risk of forced labour or child labour being used",c2 (structure)
2928,SID_232,"Our Business RH Canada, a company incorporated under the laws of British Columbia, is a provider of talent solutions and business consulting solutions under the Robert Half and Protiviti brands in multiple provinces in Canada",approval
2928,SID_232,"Our Business RH Canada, a company incorporated under the laws of British Columbia, is a provider of talent solutions and business consulting solutions under the Robert Half and Protiviti brands in multiple provinces in Canada",signature
2929,SID_232,"We are a member of the Robert Half corporate group, owned by the ultimate parent company Robert Half Inc (NYSE: RHI) which has its corporate headquarters operations in Menlo Park and San Ramon, California, USA",approval
2930,SID_232,"Our branch offices in Canada provide talent solutions for permanent, contract and temporary placements in the following areas",signature
2932,SID_232,Creative and Marketing,signature
2936,SID_232,"We also provide consulting and managed solutions in the areas of finance, technology, operations, data, analytics, digital, marketing, legal, HR, governance, risk and internal audit through the Protiviti brand",signature
2939,SID_232,"Our supply chains include, among others: office supplies including stationery; IT hardware and software; cleaning and catering services; advertising and print services; office build out and building maintenance services; and professional services such as those provided by our external financial auditors",c1 (reporting entity)
2940,SID_232,"Most procurement activities are centralized out of headquarters in the United States and we substantially rely on our parent company, Robert Half Inc, for the purpose of DocuSign Envelope ID: 93141219-7BAA-42E7-936D-30E5C0F3954B",c1 (reporting entity)
2942,SID_232,"For example, Robert Half Inc is our supplier for certain technology and related equipment used by us in Canada",c1 (reporting entity)
2943,SID_232,We source our other goods and services primarily from suppliers in Canada and the United States,c1 (reporting entity)
2945,SID_232,"Robert Half Inc has formally set out its position on, and commitment to, human rights for all in its Global Human Rights Policy (the Global Human Rights Policy), including its firm stances against human trafficking, human-trafficking related activities, slavery and child labour",c2 (operations)
2946,SID_232,"Accordingly, we prohibit",c2 (operations)
2952,SID_232,"As a condition to doing business with us, suppliers must comply with the Supplier Code of Conduct, Global Human Rights Policy and Code of Conduct",c2 (operations)
2958,SID_232,We acknowledge that purchasing goods/services could involve the risk of forced or child labour in our supply chains,c2 (structure)
2960,SID_232,"In fiscal year 2023, strategic and critical suppliers were assessed on a variety of factors which may include ethics and compliance, business continuity, and environmental, social and governance matters, which include human rights and labour",c2 (operations)
2961,SID_232,"In fiscal year 2023, Robert Half Inc.s strategic and critical suppliers in the United States were also required to agree to comply with the Supplier Code of Conduct, or provide their own code of conduct or similar document addressing these risks and concerns",c2 (operations)
2963,SID_232,"Contractual terms in the majority of our supplier contracts include, as appropriate, contractual obligations on the supplier to comply with all applicable human rights and labour laws and regulations governing the industries and regions in which we and they DocuSign Envelope ID: 93141219-7BAA-42E7-936D-30E5C0F3954B",c2 (operations)
2964,SID_232,Robert Half Canada Inc - Modern Slavery Report 2023 3 operate and/or termination clauses which may be triggered upon failure to comply or breach of relevant terms,c2 (supply chains)
2966,SID_232,"Suppliers, employees or any other concerned parties may report concerns or potential issues using the Robert Half Ethics and Compliance Online Reporting Tool",c2 (operations)
2967,SID_232,"Assessing Our Risk As a services-based company, we consider our supply chains to be low-risk with respect to modern slavery",c2 (structure)
2971,SID_232,The risk of forced and child labour being present in our supply chains increases in the lower tiers of the supply chain where may have limited visibility,c2 (structure)
2972,SID_232,"Nonetheless, we endeavour to manage and limit these risks by engaging suppliers based primarily in the United States and Canada, both of which are reported to have a low prevalence of forced labour, according to the Global Slavery Index",c2 (structure)
